,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
66,19299,12003,2423,0,0,12459,1234,15,1400,5644,1085,352,0,2600,27929,0,1019,1913,0,0,3068,5433,3005,4736,688,3772,23157,57,5,1276,1679,7368,0,1686,2924,1,732,5091,13547,6898,2425,764,3855,0,0,22496,0,1351,0,0,0,0,0,3,3,0,0,1,0,603,535248,219,1290,0,89,1178,0,2305,2443,0,2908,2,9743,1,2925,1191
67,750,99,189,43,0,0,28,156,400,269,499,671,2,37,788,0,19,97,0,48,27,89,76,87,11,63,59,0,30,32,128,327,0,0,13,1,27,83,124,92,61,12,233,0,0,2757,1,162,119,4,0,284,1735,0,6,295,310,51,0,0,3480,210,0,0,74,141,237,0,76,0,56,1,59,29,191,8
68,1339,166,501,109,0,0,143,136,370,564,580,1090,0,56,799,0,10,130,0,61,108,151,109,265,29,118,151,0,52,271,58,570,0,0,53,1,37,139,413,284,145,34,288,0,0,3334,24,172,211,0,0,654,13,0,0,711,470,78,0,10,19262,454,18,1,46,175,385,0,246,1224,115,2,222,39,291,37
69,523,100,297,57,0,0,96,361,224,265,508,526,5,83,293,0,7,72,0,16,78,118,96,157,48,140,75,1,40,182,99,521,0,27,44,0,94,161,448,141,92,0,64,3,0,3298,1,373,382,0,0,179,0,0,4,292,328,136,2,9,17219,380,0,0,91,107,468,6,106,134,79,4,89,59,249,34
70,7185,3252,259,0,0,4124,0,0,54,3632,1251,1107,1,929,10624,0,183,425,0,0,1325,651,576,1773,240,779,6067,0,570,737,476,2629,1,170,340,1,1434,3887,4913,4716,1065,1021,1520,0,1,6534,2,410,0,1,0,0,0,2,1,0,3,1033,0,365,284435,137,276,0,817,782,0,1887,700,0,1319,3,3252,1,2121,734
71,1974,3427,2,585,0,46,198,0,0,844,234,738,74,374,169,0,2,379,0,1,2253,1004,574,1434,192,1319,3296,6,234,128,286,575,0,152,223,1,3010,662,1209,2671,299,134,1,0,0,2724,0,166,0,0,0,0,0,0,2,0,5,815,0,115,83164,1319,85,0,115,253,21,2876,1043,0,584,0,3977,30,700,217
72,1152,179,544,85,4,3,144,228,452,315,534,1487,2,66,1325,6,13,129,0,33,74,59,57,129,24,101,143,5,20,135,129,520,2,4,34,2,47,246,438,149,96,19,251,7,5,3130,28,464,247,6,1,1923,0,2,74,744,389,65,14,10,25285,489,9,5,58,210,375,1,147,669,88,16,102,89,302,16
73,3962,1230,2578,537,0,1,761,1740,3181,2093,3557,5633,28,137,7320,0,55,728,1,136,438,463,238,797,194,459,866,0,99,739,492,3050,0,0,1090,0,148,1106,2697,1097,511,41,1696,2,3,30360,81,1618,1524,0,1,3674,129,0,5,2808,2585,548,0,35,21263,2452,84,0,309,1020,3182,28,611,3352,479,1,966,338,1030,100
74,17210,2969,1,0,0,3,808,0,52,8382,2323,1462,0,284,9310,2,416,1160,0,0,2735,4565,1599,4530,1527,3383,9178,0,177,379,1405,6070,0,100,715,2,13217,5562,7000,6296,1002,673,1493,1,0,11842,0,686,0,0,0,0,0,0,0,0,61,1340,0,467,587473,16,177,1,282,1081,104,5917,285,0,5379,0,7208,779,1511,1648
75,547,414,230,165,0,1,176,537,820,422,886,1374,0,16,1195,0,0,458,0,95,136,556,441,558,173,661,388,0,107,600,186,649,1,0,350,2,42,489,597,499,240,2,391,1,1,23522,28,159,2421,0,0,1076,0,1,4,673,711,136,0,19,4879,848,0,0,100,401,215,0,182,1152,102,3,279,2,348,113
