,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
34,3227,1611,447,1,0,331,1067,911,3490,3872,1799,1,1216,888,0,1,7744,1,2406,0,5,568,7697,3149,2261,4560,628,2637,3659,38,2645,2702,534,588,844,0,2004,1551,0,5899,1920,4,2290,1213,1509,2022,3896,2824,1311,542,330,7589,13200,1841,1,1213,9962,3,0,0,1301,0,308,2,5356,413,0,0,199895,1764,0,1212,926,8935,3543,2778,397,2,1710,0,5910,1196,0,661,3326
35,14599,5497,2646,0,0,844,1589,1897,1975,29960,2906,719,2324,3258,0,0,24083,0,3825,207,0,644,15763,987,1557,3022,440,2012,5744,0,5699,2407,5500,804,4179,1273,119,2234,0,2934,2359,1167,6659,4353,2605,1792,14177,4018,12033,2698,1333,5954,11442,2473,0,242,17236,0,0,1,4390,0,1467,1,11032,1105,0,236,279091,3654,0,440,151,7829,3832,10426,6087,0,8963,0,12324,4768,0,2644,5222
36,2851,2340,2056,0,104,1,520,1024,360,6831,659,0,0,1719,190,0,4785,0,741,281,0,200,1630,2268,1439,3222,718,1752,1317,0,449,1575,9186,4267,276,232,644,855,0,1026,694,252,1839,361,1756,397,6850,1414,2330,899,1,3329,7953,770,0,188,7209,1,0,0,1497,0,0,1,1905,126,0,0,54755,2422,0,0,436,2587,942,837,990,0,282,0,3563,320,0,700,796
37,3909,3742,553,0,0,2340,1193,1152,3099,8225,2919,145,1423,2220,0,1,6678,0,2584,211,143,69,11151,1631,1192,4254,883,3295,1890,0,2329,1396,22491,954,1645,18,2073,1449,0,8442,1276,209,2520,2695,1411,1166,5614,1516,7885,4773,829,4392,8175,838,0,1,10502,0,1,0,4993,0,540,3,5956,969,1,186,210869,2901,0,637,1120,5113,3098,2413,1177,0,2627,0,6032,2389,2,1146,920
38,480,11,119,0,0,4960,0,435,437,85,0,0,223,0,0,0,0,0,665,0,0,0,0,2361,1551,3076,955,1989,1199,0,0,0,0,513,1017,0,0,0,0,1,0,70,0,228,0,0,0,594,0,0,0,0,0,0,0,0,1,1406,91,0,0,121,0,0,0,9,0,3,101547,1065,0,0,0,0,0,0,0,0,0,4630,0,0,0,34,0
39,3146,1589,1405,0,0,1,602,596,424,5692,1890,0,1846,1579,0,0,7146,48,1249,0,113,354,8457,2277,2943,3647,751,3293,2538,11,326,527,10056,414,790,0,1140,713,0,5566,2542,104,2921,2244,1942,2983,528,2221,3142,6051,469,7829,9876,907,1,320,5870,0,0,0,820,1,273,3,3431,747,0,31,153495,923,0,231,262,3434,3555,1398,221,2,1368,1,4912,1596,0,1076,1973
40,7985,2390,715,0,0,2332,361,1574,768,28249,3660,0,458,3829,0,0,4044,0,2052,149,0,101,596,5889,2005,4014,2024,2401,1893,24,2222,1496,1018,2779,1371,64,823,1283,0,3558,714,133,1593,1093,343,8414,911,2076,5118,1212,773,20220,16390,5040,0,1765,12709,0,0,0,2146,0,312,0,11670,226,269,0,63676,2199,0,311,0,3983,6620,2791,1090,0,951,0,6336,2273,0,874,3999
41,1659,510,346,0,0,0,411,460,53,5768,33,0,337,1816,101,0,1707,0,688,1,0,44,1712,2120,770,2809,669,1680,563,0,580,2284,2836,313,294,103,466,404,0,584,117,98,1330,257,1553,237,2189,739,1767,378,0,1820,3108,507,0,54,2801,211,0,0,692,0,61,0,2878,0,0,0,47263,334,0,22,0,1439,198,1108,916,0,604,0,312,366,0,197,385
42,7403,2347,913,0,189,2338,1751,2136,3619,18681,4339,505,2376,6726,60,0,8161,115,2910,0,212,232,4759,1876,716,1681,1078,1395,1498,2,3553,3389,5315,1415,1827,262,1065,2575,0,5138,1477,826,7114,1658,2326,5183,7731,2452,5500,417,867,11074,20617,4483,0,575,17323,0,0,0,4167,0,403,0,8388,328,0,132,127090,4111,464,551,59,8902,2606,5213,1194,88,1932,0,6820,931,0,1785,4591
43,1997,813,2,0,0,108,990,451,571,3840,703,0,195,198,24,0,3112,0,120,0,1,16,5175,1315,514,872,135,753,1067,0,951,1331,3420,198,302,400,240,569,0,654,864,46,1269,638,187,534,2603,652,3013,498,246,896,1464,251,0,53,2954,0,0,0,436,0,86,1,3076,170,0,3,39283,819,0,170,328,3816,432,871,765,0,557,1,1103,963,1,135,852
44,8948,2196,603,0,312,4703,1727,3194,1431,29319,1162,8,1245,2668,0,0,13285,0,2215,192,0,1200,1345,6439,4764,9374,76,7799,676,0,1397,1363,1,1446,716,1056,945,222,0,4076,2844,1,6536,1371,4549,2542,11781,3762,75,23,1125,5111,8350,1663,1,1882,11385,0,0,0,2972,0,2522,0,4912,1044,0,0,253355,6000,0,412,1,8239,2789,8492,5005,0,8770,0,5391,3857,0,3120,7955
45,1280,372,400,0,110,432,712,206,260,3934,36,0,248,315,0,0,2744,0,292,1,0,8,3124,2601,1656,4509,709,2244,1148,0,1455,628,254,200,847,264,3,1052,0,0,46,88,918,330,819,629,2028,974,3247,813,672,530,1132,770,0,793,4621,0,0,0,527,0,224,0,2470,1,0,0,65038,305,0,0,0,3369,1248,10,126,0,775,0,1859,458,0,250,436
46,4584,1797,59,0,0,0,469,780,758,3098,364,0,96,2058,0,0,1803,0,345,37,0,89,2131,3479,1744,3028,620,1462,243,0,536,857,15770,976,871,298,698,867,0,657,1194,239,900,1431,1251,636,1431,479,4433,2150,33,3051,3762,129,0,351,5817,744,154,0,1017,193,254,0,526,428,0,0,65543,108,0,1,176,2085,935,324,626,0,529,0,3554,0,0,617,407
47,5380,199,0,0,0,559,334,0,207,6222,577,0,0,3390,0,0,6393,0,416,199,0,75,15,2665,1644,5407,1705,4139,1285,0,2958,2119,0,458,1714,399,1055,1067,0,420,670,429,919,72,2459,253,2411,1094,3830,0,12,6321,6072,1225,0,257,9270,1001,162,0,853,0,458,0,6102,229,0,365,6588,861,912,2,71,2040,668,1585,1360,0,1192,0,965,0,0,333,2208
48,15288,1292,1402,642,82,944,2872,0,3002,48586,4612,1907,4242,1033,0,0,15844,1,3885,1,311,1435,4775,4721,5559,10388,1828,7285,2138,932,8453,3917,4,2136,4441,903,534,2177,0,1967,2632,1,4488,2848,2978,3573,15376,2512,1217,626,765,9708,15940,4610,0,1017,12684,0,0,0,1680,1,229,1,10138,1177,1,338,584513,5644,2978,378,641,19838,7348,9260,7994,0,7670,0,8165,3836,0,2025,9014
49,10429,2942,2197,12,284,245,1628,1300,3999,21387,2431,218,2062,3249,0,0,14764,0,3001,76,0,420,9340,2110,2943,4538,392,2528,3219,0,6364,2764,3741,2101,1956,470,481,3458,0,7429,2995,588,3461,2254,758,3911,10315,3569,10681,1330,2507,15553,20069,5146,0,1828,12615,215,0,0,1833,347,1840,0,11150,1840,0,1,236416,1756,0,820,108,9607,5417,5191,1693,0,4465,0,4041,2732,0,1588,4813
50,8443,2198,581,0,50,1654,432,946,1327,11559,2037,6,1508,1688,0,0,5067,3,2848,0,61,273,5062,1241,829,3167,250,1541,815,2,1213,1312,5658,889,1634,40,827,1360,0,3111,867,673,2139,406,1921,1632,5904,1639,2670,285,359,8067,11586,2966,0,388,13796,0,0,0,2067,0,508,0,12689,147,0,133,125258,585,109,23,49,3825,3672,2731,622,0,1190,0,2639,1170,0,1047,1354
51,2891,481,165,0,36,1482,1482,329,721,6482,819,183,121,1335,0,0,3796,0,890,0,0,589,677,1365,1552,2652,1053,1274,1234,0,2843,1437,2,524,559,648,1047,818,12,768,884,1094,1727,724,158,1007,3234,990,1980,135,624,1976,3597,1724,0,768,4152,349,151,0,585,0,440,0,2190,0,1,0,57260,1737,244,269,532,13409,766,1809,836,0,657,0,3739,738,0,245,3755
52,2257,1095,442,0,0,1200,1390,472,2620,7928,2527,0,1126,317,0,1,11658,1,2151,0,274,816,1083,4738,3920,4056,1012,4860,2788,0,806,1577,1,805,889,0,3403,1693,0,6063,432,265,3895,666,2114,2362,2201,1197,0,0,395,6431,7267,1889,1,79,9731,1,0,0,1155,0,723,0,4276,1269,0,343,43293,8169,454,120,1,8171,4135,2554,95,1,2214,1,6454,1060,0,1467,2128
53,1113,872,0,0,2,699,65,465,395,5194,1050,48,0,225,0,1,2382,0,781,105,0,104,458,1845,1252,2777,1190,1302,1117,0,493,615,1,151,314,22,76,486,0,347,145,1,1269,205,250,462,1974,746,240,187,12,385,1386,496,0,0,5425,0,0,0,437,0,313,3,2062,221,2,0,50733,2297,1,65,0,769,10,530,1503,0,1437,4,1831,134,1,326,1346
54,1096,912,0,0,0,984,1061,0,889,7686,851,0,459,380,0,0,7414,1,1379,2,0,242,3714,3165,3327,6311,588,3974,2797,0,1882,77,2029,732,1169,455,746,523,0,2659,957,0,1433,359,1331,367,5740,2067,472,788,604,2199,6113,740,0,8,2163,24,0,0,2748,0,450,1,1657,504,0,373,115659,942,0,342,0,2317,1427,2944,408,0,4004,0,3131,1067,0,483,518
55,4496,5866,1613,0,0,251,2115,941,2068,9911,1423,1,1539,777,336,0,5115,0,1616,109,0,111,7997,1186,1017,2295,458,825,1910,0,774,1769,13996,1205,1019,0,4713,2317,1,3894,712,363,4609,2291,364,3022,486,1012,12111,6078,761,4792,9899,1421,0,395,12156,0,0,0,2544,0,244,0,6483,720,1,1,172621,15,372,404,242,10347,2155,2158,256,0,609,1,3616,1518,0,975,653
56,3566,2623,979,0,0,554,865,12,3060,4938,3523,0,1237,834,0,0,10838,1,3393,17,105,573,2715,3161,2549,2503,606,3664,2391,0,2254,1177,168,1547,2040,422,406,1044,334,4531,2035,146,1221,1783,3114,831,2034,1682,167,182,253,9866,7374,2720,0,976,7439,684,37,0,1073,0,644,0,2358,268,0,0,56375,890,6,40,551,814,1660,1518,809,0,4383,0,3282,0,1,1004,1451
