,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
36,3700,12,0,0,1,168,570,1561,1795,4634,2150,0,0,0,2905,0,1090,3055,70,3818,2640,85,0,426,2081,3070,0,1044,950,0,694,1442,0,0,553,2237,2,676,0,0,0,3223,2,2,0,187,1,220,0,0,6545,1156,0,689,7527,0,0,0,0,2516,0,0,0,292991,288,0,0,1476,0,690,1,1066,76,0,0
37,508,14,0,1,0,37,391,303,88,1060,262,0,0,0,644,1,51,43,0,30,3008,138,100,266,928,2525,661,837,1646,287,183,1,1,0,592,1014,162,168,207,0,0,0,205,4,84,379,0,343,0,114,304,0,0,0,1045,0,0,79,4,2,1,0,0,84559,151,0,132,0,0,254,0,11,0,0,99
38,9726,2321,0,0,788,9271,1952,2047,2877,4808,2378,27,1,195,10378,0,2612,5269,2,15624,9266,794,2043,1329,7968,11538,999,3776,7526,375,668,4440,1,14,5962,19355,664,2903,1232,4617,0,882,1527,1055,2631,9374,924,13659,3391,924,9266,1252,0,252,11817,2,0,743,5,6627,1616,0,5,898749,5367,0,9509,2178,5123,3080,2,6758,2,0,1028
39,3818,2739,0,0,80,999,322,113,383,3169,372,0,129,0,788,0,913,1204,0,3749,2076,133,5,116,1015,1148,0,447,1808,126,48,626,1,0,1113,9119,134,345,0,589,0,587,768,434,104,167,167,2806,130,917,1263,27,0,0,889,0,0,340,0,580,349,0,0,41546,239,0,3354,620,469,144,0,1053,159,0,769
40,5981,748,0,493,4445,586,2905,1947,2672,21684,2404,2,171,0,5222,0,0,3229,2160,3,9207,1288,1940,1206,5138,13456,383,2310,6667,540,1121,4105,1,1300,1417,1,1909,1122,1095,409,0,3,4219,183,2008,17950,59,26,19,4012,6137,3611,0,308,9825,1,0,497,6,4669,192,1,2,346675,2483,648,5052,311,2979,4126,3,7800,1313,0,9
41,2900,4449,0,619,2613,0,1296,469,1946,16023,1214,0,752,0,7637,1,3949,0,1,0,6562,815,980,534,2284,9711,711,1088,4597,80,859,3889,0,3967,463,0,3357,1648,1111,121,0,4413,2119,6,3815,17337,3401,125,865,11863,4990,4166,0,3042,6458,2,0,2760,1,12670,926,2,0,104875,3230,0,19588,543,9419,3838,0,990,1256,0,8939
42,14351,3339,0,0,1475,147,3892,4603,2995,25986,3349,0,380,0,19162,0,8773,19087,3,3602,11169,1179,2055,662,4645,15321,1648,1375,11804,884,581,3849,0,0,3794,5819,2972,2607,3472,1618,0,4129,7102,6746,2819,10928,3200,14661,0,18073,16601,6038,0,223,8401,0,0,7477,1,9375,2880,0,0,773808,9508,0,16632,6627,25,2022,1,2008,0,0,5850
43,2958,2221,0,0,1557,1789,35,1282,3351,37912,6846,0,6853,0,3629,0,6572,12397,1,582,9369,834,318,1094,3040,28338,2737,2054,15387,1549,753,8460,0,3576,5061,0,1950,2544,72,4151,0,5039,8176,5676,3041,22531,5073,363,4793,10148,27316,9360,0,7919,11714,1,0,9785,0,18973,3068,0,0,318130,22308,0,21560,2122,6028,5597,0,8588,1170,0,4957
44,229,248,1,0,0,476,9,2,364,253,657,0,43,0,183,2,125,16,1,80,1624,159,419,127,798,2292,109,737,1806,200,187,443,0,250,211,1,141,254,0,21,1,220,113,166,201,232,241,0,6,1482,2369,135,3,99,40,0,0,15,10,206,21,1,1,3940,241,0,313,311,294,510,3,2,251,3,30
45,7204,3639,545,0,1154,1681,7031,139,3378,10321,4278,0,3783,0,8304,0,5754,2085,646,2016,6095,579,0,304,4357,11438,90,3254,4940,846,455,2774,0,4439,1272,6575,1669,1387,0,7607,0,6557,1894,1889,2714,1462,4948,11307,1675,17123,19176,7173,0,611,9404,0,0,2823,0,14601,1173,0,0,33845,4200,0,14623,7407,5310,2232,0,6098,3325,0,797
