,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
39,1110,5350,1576,790,263,1828,0,635,692,3633,11992,141,1024,1538,530,1165,104,8011,1525,2285,2676,266,1,1321,2807,522,268,2612,4187,1032,3066,2151,1579,178,917,1844,3300,375,751,17,1721,963,851,915,4871,1784,962,1573,1529,2622,965,1133,2057,1753,8715,2060,2806,7,1604,1244,7433,6229,1734,5425,921,347,1049,1767,2820,794,30,6582,3988,67982,2507,2399,785,524,950,1643,459,2633,1314,995,1246,412,2198,11,629,14,7065,744,4722,1513,77,1406,1433,842
40,433,1346,0,1,582,303,2722,1849,1446,210,6026,1567,650,452,0,360,2290,6858,3333,907,221,1497,0,2508,8363,450,589,4374,9697,1351,3978,1148,700,2809,0,140,1221,1619,1097,9026,668,785,803,268,1768,1,778,2749,0,1101,3086,1196,21,242,18526,3795,4910,2619,0,731,1487,1936,13,7998,854,597,340,2101,0,318,1271,2332,874,131430,18,4381,68,536,920,790,0,625,2080,734,1503,559,780,252,44,1345,725,623,7983,1969,2526,1062,1684,1648
41,2732,13093,3045,1907,2076,2515,165,1792,1813,4936,27884,1579,4842,1133,455,645,2965,10592,594,1098,2002,4181,205,6242,3857,456,921,3521,5089,1305,3098,3687,1710,2264,5077,1728,3410,1424,3094,468,1500,2369,2010,1364,3436,373,1625,4555,2464,1508,5270,1250,2620,1121,10320,2120,5560,1449,1042,2237,12437,20033,4262,11075,1985,2796,1938,3058,1255,2461,4237,10327,598,316114,2432,16191,901,2051,3672,5152,4563,3211,5055,2168,122,681,1349,3153,1706,1120,4768,2350,3141,1909,1434,1235,3773,2420
42,402,2474,301,0,0,1171,700,28,0,449,6833,177,855,796,4,0,168,1404,284,1281,603,495,0,213,3985,473,632,3425,5646,615,4107,325,561,1648,260,313,458,129,786,360,154,1020,43,80,1055,0,277,901,211,6,411,675,609,215,1965,359,29,253,13,53,2126,2451,1431,2375,0,596,476,2,461,1372,396,1024,5,117725,688,294,518,1708,377,42,539,517,650,428,6,171,492,0,0,516,1239,96,535,0,4,210,953,250
43,498,1330,497,894,754,3371,10,168,384,1460,11909,272,1816,377,145,655,49,9491,638,2230,1429,572,0,533,3740,688,573,1785,3182,955,2740,778,415,236,806,562,433,293,706,1,826,927,462,485,1758,976,921,388,0,1254,356,719,591,1561,4597,1791,8,1,236,1188,6416,6632,3428,1515,758,1560,779,1052,598,679,595,1837,254,17230,1023,1176,437,376,1113,532,850,687,520,1727,416,254,1212,458,968,246,4635,223,1856,2269,167,801,1042,2583
44,492,504,567,348,627,711,0,35,0,1147,5129,0,1290,173,281,0,0,1823,211,333,485,165,0,1885,3665,398,543,2047,4473,1280,3221,697,243,282,396,29,396,661,222,1,773,491,407,361,1044,1,153,345,0,0,548,666,464,888,5221,629,7,1,0,0,2100,2780,261,1354,1223,0,898,1171,1022,335,514,2549,547,51115,3045,1660,853,5,480,651,0,1440,713,254,1,692,206,0,844,0,1960,36,4180,92,342,319,1263,1109
45,893,2786,2183,217,648,626,204,384,529,87,7030,0,980,536,1170,1116,514,2691,110,1848,375,686,0,2,1312,253,202,1276,2287,1079,1849,2137,143,1265,1309,282,2488,1319,418,0,11,562,724,300,713,0,71,2756,232,713,655,0,387,2062,5477,817,114,263,434,274,2158,5052,1001,1307,344,933,709,1249,740,1068,0,4671,1296,21262,982,5127,2037,629,2075,381,362,3004,886,289,1250,359,431,681,345,1031,801,803,1082,415,886,157,3208,472
46,797,13217,2096,998,426,2110,4319,353,734,790,19495,4027,1645,4004,475,77,931,10080,1124,977,1631,3450,5708,8540,3023,508,403,2033,3919,686,2133,2972,871,1093,1010,819,1603,363,1200,2295,943,666,722,1244,1336,326,792,748,154,2009,3872,2919,770,668,6935,1403,2488,943,3106,1856,1433,2657,2234,4720,1291,1466,1054,1583,810,611,134,3328,1294,164504,2122,4049,1648,0,908,832,404,932,2966,1127,3538,884,1172,332,0,1226,5944,140,7424,2302,927,1620,4025,1998
47,239,1002,1007,1030,851,1226,0,334,466,1132,9084,730,1960,0,313,326,101,2637,550,891,190,317,548,2706,2276,295,187,1125,3441,473,2218,565,868,161,67,317,785,202,788,1546,931,847,419,1211,3076,1059,160,1028,1,315,351,499,800,446,1309,779,1209,72,413,847,3785,5954,753,3006,366,130,407,730,688,169,98,2513,898,66370,1653,1307,87,340,1234,111,22,1109,730,265,52,98,222,136,971,831,1144,64,940,455,342,556,419,811
48,1189,4853,1743,2220,228,2870,2872,1061,769,1563,14818,4188,3019,1729,2945,1731,2177,6008,946,1260,416,2634,16895,19861,2513,433,220,2005,2729,182,1957,905,886,2308,2334,961,1676,1397,2734,10085,926,1272,1336,1516,2849,1042,2102,2296,480,2199,2233,1873,706,2418,6366,1734,7303,5306,514,1808,2623,5592,648,12554,1071,342,647,2265,1430,2324,1211,3943,2805,217514,5268,7778,1212,1122,2025,1597,1265,4064,2737,1428,1907,903,1123,876,239,1974,3347,870,10906,3550,2233,766,3092,1146
