,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
57,80,63,0,213,587,2035,0,4017,254,53,118,366,70,97,1533,1630,283,149,1656,177,733,645,1574,406,1280,75,0,92,331,57,475,280,0,104,652,288,148,78,106,309,74,360,30,107,364,0,181,174,151,824,91,319,246,0,73,617,492,204,135,224,147,17126,33,75,306,124,107,780,393,74,34,890,229,546,86,0
58,3700,542,2140,52,1461,26084,4847,43547,9167,5696,1931,188,2887,774,8281,11926,26352,485,14385,1117,13482,3217,9776,3822,6834,3896,0,2560,2178,1691,660,9464,3573,3550,0,2046,701,1359,380,2354,42,3919,1007,701,838,84,3252,975,3342,4968,964,2238,1956,5,3901,4793,455,3950,1367,2026,39,532719,2113,1994,975,1,1945,16778,2954,5,430,12541,588,5363,2542,1215
59,3088,2081,3681,5238,1376,17810,0,30728,6510,7436,1968,3189,405,1264,8275,21399,4849,2728,7213,3444,2287,1056,5112,1179,3755,1578,1990,738,5075,8939,3803,11188,6336,1776,11465,3421,1290,2068,6939,2046,1657,2187,1181,25672,20221,1133,3593,4493,555,2718,4845,3141,4896,1,8766,2544,6129,7500,1678,1824,545,403641,5163,1026,1041,979,3106,19419,12561,1099,9618,5168,971,3807,2299,265
60,1849,990,319,909,2503,14204,699,16479,3635,1419,1687,2078,986,2101,6135,4890,904,995,7720,1,2570,1745,5278,895,3914,285,1828,405,3034,2398,2946,4250,1671,114,8572,3181,1123,1235,2512,1488,91,1724,437,13474,11337,3388,540,51,1423,2963,1311,2598,2795,0,2616,2126,5348,786,819,1161,1662,91235,1000,0,1488,35,939,2406,4553,1571,881,4022,1714,3067,538,334
61,911,230,489,20,335,7115,253,27255,1103,447,358,1810,404,1037,1195,7284,10788,541,5746,837,4722,1436,6518,1504,3070,774,43,1621,405,0,452,2291,1040,874,115,899,640,1128,0,2088,385,1,68,13,1752,168,568,961,428,4627,1896,486,614,2,1716,670,45,869,281,2266,122,192307,1382,5102,128,452,1082,7214,1420,580,173,5794,695,209,1616,315
62,1493,337,2302,3242,1076,15203,115,29645,3228,1686,2454,2439,1285,2421,4249,10202,6604,0,5136,1,4009,3458,6953,1964,3499,481,568,1711,1886,527,973,3661,3423,2270,776,3749,175,410,673,1484,1743,2446,1660,416,456,257,772,396,949,5631,2134,244,2830,0,1961,1097,3009,2730,515,947,147,194202,967,565,1855,1490,1121,14902,1411,1261,875,9560,2201,5654,2559,1150
63,637,361,665,7293,1933,3270,5779,9191,740,697,687,550,7242,3338,3950,4558,1075,92,6260,707,1314,1320,2369,881,1551,2495,143,7689,1286,629,207,2199,599,1352,625,748,430,1506,927,1713,1604,1239,890,43828,2271,312,4,346,1008,242,218,521,398,32330,1898,1149,1454,1284,858,836,1253,311556,1168,2019,124,623,658,1165,948,442,735,3303,73,847,1073,306
64,0,42,447,665,269,4242,806,8593,544,606,1030,368,227,230,913,5056,5689,976,3566,222,2600,785,3109,327,2223,547,0,587,564,427,0,1434,860,666,789,524,190,306,316,146,31,421,492,13,1351,0,371,275,473,358,477,0,836,6,598,477,167,464,222,1,147,61233,766,807,446,44,737,5920,598,369,399,3823,766,2657,555,230
65,611,420,712,1199,403,5351,449,7746,2003,629,1162,1354,330,467,2809,3114,895,624,3324,462,464,527,1111,180,473,136,561,365,1185,1500,568,2232,586,583,2321,1163,466,196,1464,98,255,673,802,14526,2022,270,543,671,793,1587,203,977,489,2,2322,906,748,993,266,739,637,64479,473,472,552,51,474,3723,1625,491,164,1815,356,1209,517,510
66,2793,1926,4518,780,1391,9676,2747,8281,9845,3697,1077,2547,386,2295,3904,9192,3584,970,3288,699,5055,1047,7088,394,3111,780,4068,308,1919,6472,1521,7264,3985,2876,12448,1084,644,763,9004,471,1945,2193,1250,46401,11216,87,535,4128,305,4709,1436,3773,3427,2,7681,2156,2701,3920,772,796,643,239717,3705,2612,1014,666,1071,7623,7205,1021,3096,4841,524,4419,250,1230
67,1667,1765,1061,414,572,4790,389,15645,2446,506,808,1731,217,1460,2764,21730,3393,2189,15390,1302,3045,1493,5469,1378,2804,597,831,288,1676,3686,29,2279,2167,1835,1960,1027,1975,634,1539,2144,440,1046,7,15558,4730,0,124,5,1174,1080,327,2134,1346,0,3719,1459,2580,1150,783,118,2580,86824,186,154,484,1256,115,5000,2325,248,887,3019,764,2792,502,1
