,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
45,2786,2183,891,3,6,626,384,529,87,7030,980,0,536,1116,226,1,2691,170,1848,0,375,686,0,429,2,1312,253,202,1276,2287,58,1079,1849,2137,4,2488,418,0,11,562,787,50,300,1,713,71,684,2756,713,0,5477,817,114,131,2158,5052,5,74,1307,2,0,0,1249,0,26,11,4671,0,182,21262,982,499,1083,240,5127,2075,3004,75,801,7,1082,886,3,157,3208,520
46,13217,2096,757,0,172,2110,353,734,790,19495,1645,276,4004,77,123,0,10080,0,977,0,1631,3450,0,44,8540,3023,508,403,2033,3919,0,686,2133,2972,0,1603,1200,2295,943,666,2,56,1244,1,1336,792,484,748,2009,2919,6935,1403,2488,1,1433,2657,0,0,4720,0,0,0,1583,0,191,0,3328,0,0,164504,2122,0,0,1025,4049,908,932,0,5944,2,7424,927,0,1620,4025,220
47,1002,1007,361,0,0,1226,334,466,1132,9084,1960,0,0,326,0,1,2637,0,891,0,190,317,0,417,2706,2276,295,187,1125,3441,0,473,2218,565,1,785,788,1546,931,847,12,310,1211,0,3076,160,180,1028,315,499,1309,779,1209,253,3785,5954,0,73,3006,0,0,0,730,0,276,0,2513,0,469,66370,1653,0,125,104,1307,1234,1109,0,1144,0,940,342,0,556,419,0
48,4853,1743,644,0,233,2870,1061,769,1563,14818,3019,217,1729,1731,0,0,6008,310,1260,0,416,2634,134,1016,19861,2513,433,220,2005,2729,125,182,1957,905,0,1676,2734,10085,926,1272,260,1300,1516,0,2849,2102,191,2296,2199,1873,6366,1734,7303,705,2623,5592,0,392,12554,0,0,0,2265,0,216,18,3943,0,0,217514,5268,0,563,1072,7778,2025,4064,0,3347,0,10906,2233,1,766,3092,583
49,1409,17,27,0,0,1,0,0,866,3431,1001,0,1596,1199,0,0,3177,0,1619,0,0,0,0,0,1,8062,671,1057,5806,9885,94,1042,5452,2,0,786,1099,731,183,0,234,85,0,0,672,738,0,1,440,1345,3511,616,568,0,1080,944,0,33,800,0,0,0,167,0,0,0,1009,0,0,4785,125,0,1,0,826,626,0,0,1535,2,1425,0,0,428,1436,0
50,4601,235,159,0,553,1228,1531,995,927,13282,2148,692,726,512,0,0,4107,0,0,0,233,2474,0,719,3208,5793,984,839,3259,9248,916,1050,4479,2191,0,906,2410,2,1298,2785,427,391,1579,0,567,243,50,3,1184,767,9836,1867,739,957,3316,3783,0,667,4524,1,0,0,1319,0,1516,0,4716,0,0,135894,1311,1,321,623,2266,2651,4241,0,4907,0,3525,195,0,1153,1857,61
51,7034,456,691,0,717,531,205,1726,4211,26114,4830,233,4246,1210,0,0,15668,0,3061,0,1667,5066,0,353,1657,4218,803,647,3198,4248,0,388,2602,1541,0,2406,2108,699,1390,1798,936,996,1907,0,3693,4055,4,2524,1620,3417,18938,3132,2171,28,4941,6659,0,785,14367,1,0,0,2418,1,1283,2,9311,0,194,34303,2618,0,288,376,3558,3571,3484,0,9351,0,3226,1308,0,2032,4308,233
52,175,1,0,0,0,1,79,2,340,1647,709,0,1046,289,0,0,1,0,269,0,484,140,0,0,0,3818,394,699,1438,4020,0,1125,4680,279,0,11,55,0,234,0,0,42,0,0,0,1,0,0,352,0,353,341,57,0,138,1096,0,0,1,0,0,0,3,0,0,0,229,0,0,9032,1,0,0,0,0,185,276,0,1436,0,58,127,0,91,0,0
53,3551,798,270,0,0,2305,685,300,433,15635,2088,0,1486,647,0,0,5669,0,1756,0,2190,1534,0,487,2097,3006,441,183,1678,5130,264,678,2298,1493,7,1067,416,438,882,1426,634,385,868,0,1555,907,404,2206,488,477,6264,1427,1866,989,2344,4871,0,0,5532,0,0,0,1451,0,356,0,3803,0,10,130381,1674,2,99,0,3218,3744,2616,0,3504,0,4856,1773,0,774,1681,220
54,871,348,179,0,0,828,196,425,612,7375,241,34,2583,0,0,0,5447,0,595,0,403,271,0,175,3050,1500,354,118,1507,3166,975,412,2899,1103,0,1180,708,968,170,620,242,17,536,0,2112,475,0,418,611,859,4697,1933,895,0,1361,2127,0,0,1738,0,0,0,2884,0,135,0,1389,0,149,26331,2910,145,71,0,2052,404,1236,0,2476,0,2101,213,0,640,283,0
