,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
44,4552,3081,948,4112,830,3801,1112,1841,3626,1896,768,3117,8096,1609,1261,5485,2633,1832,4829,707,4570,3246,1840,2085,1139,525,605,2098,3479,3409,1597,2684,638,674,13685,3150,377,2840,2882,2245,3899,1123,1228,110377,2245,2059,2592,2143,1529,1305,3341,4783,2766,3313,1124,1472,2039,827,1710,1393,1789
45,205,189,223,1,122,0,356,90,345,134,52,165,322,28,25,153,1205,1077,390,242,874,1,315,57,89,167,192,90,402,170,0,72,0,20,3548,52,1,46,0,0,0,34,41,20940,34,0,311,242,38,142,0,1103,0,0,248,0,56,468,41,0,103
46,52,3050,2,131,31,1363,0,80,495,276,124,866,1123,538,498,699,641,2415,175,780,1574,1,282,523,1294,301,690,1941,849,0,378,175,0,1018,7432,1593,1691,645,719,0,0,16,6,30018,44,0,1293,970,1965,234,1588,206,10,37,610,653,894,7,1,22,1544
47,1332,1047,289,409,164,868,541,2115,595,551,335,525,1629,1191,368,271,162,320,448,115,555,176,978,325,73,168,370,676,1127,475,88,698,166,875,4295,1020,196,1143,1148,169,344,377,275,126033,1041,303,401,514,556,233,721,860,434,444,106,658,245,547,319,319,497
48,685,662,225,43,330,1073,388,224,1521,240,12,1699,3206,308,950,2,1309,2027,1508,683,285,2587,3,125,438,589,455,2180,1983,879,408,486,3,869,6180,2557,862,347,534,81,858,881,1057,30621,90,1425,1,360,265,3,1065,144,1100,107,0,54,66,464,560,0,810
49,2652,3813,989,3951,6390,4222,1500,6424,1249,480,170,2942,6847,2339,895,689,4006,1601,2657,1269,2377,1108,3427,1497,1203,1907,1629,3087,4033,3217,1401,1507,1634,66,7514,4247,866,5009,1579,2045,4985,1180,2844,376333,2789,6812,3415,2414,1690,96,844,2998,2893,1899,1134,683,1065,1241,1203,1321,994
50,110,94,0,655,18,420,1,84,652,720,662,60,688,29,165,1,893,1027,1611,207,321,529,307,117,0,232,7,150,590,75,184,10,1,3,6372,58,0,706,398,0,938,64,35,137249,68,67,438,79,34,0,574,191,961,109,393,0,215,9,1,197,285
51,944,877,95,388,339,1014,417,1122,2724,1354,158,288,4258,1152,410,1498,4195,2475,4961,1632,3769,488,2042,810,891,121,349,1379,814,727,669,517,1404,737,4585,2006,6,1287,807,467,475,212,503,19628,2459,426,271,519,430,25,1559,3447,578,2913,367,160,980,264,621,156,818
52,6542,10199,2924,10381,4039,10490,5121,18130,5984,3440,3823,5038,11248,6001,2963,6544,2639,3668,5796,2565,4514,3490,7678,4294,3545,4329,2844,5762,6480,6177,1778,6843,2843,7132,26683,4917,1699,6436,9093,3481,6880,3750,2425,266793,6977,3725,7306,4503,5701,750,6683,13541,3166,7599,1000,4000,3812,2600,6158,1155,3296
53,5226,6362,3197,4309,3441,6473,3443,10387,2546,1669,634,2419,9739,3043,1845,6793,1924,880,2419,286,2038,2235,6461,1317,2828,2901,765,3248,3207,3328,3490,3803,2828,3568,9450,8957,2352,3161,1966,3157,6843,2484,3570,86173,3919,6203,6783,1616,2410,453,1401,8726,4392,1060,585,1354,678,2930,3436,2505,2376
54,605,624,112,677,198,1173,238,428,631,410,678,203,753,599,667,594,1256,926,2060,225,1493,194,673,572,325,144,272,501,497,426,159,1483,199,7,2066,897,178,1641,266,332,253,78,348,41725,747,30,339,35,375,150,405,1739,318,1517,109,443,465,44,188,219,383
55,780,6689,161,5439,44,0,1,0,4039,6236,0,4820,7708,2264,7,1273,33046,18335,27107,8378,34393,402,3745,2601,1,855,6120,0,5,2930,0,3975,0,3545,34281,5589,0,981,5729,3548,0,3473,86,7277,4694,0,1806,0,887,3355,0,13630,0,0,5155,1500,914,2146,0,277,1222
