,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
36,31146,358,58523,11400,946,21649,10459,3307,32811,7891,255,14867,6389,33819,2135,6334,7605,9021,7683,4048,523,783,582,659,3620,8977,528,0,2857,7153,138,490,9048,17610,7626,1,45867,4289,4665,10509,40487,13994,6969,5372,6773,8742,4245,0,10639,35494,10889,55297,39738,13122,8863,2,5171,3425,6576,195063,3811,77351,26449,10380,1190560,7033,11971,7298,917,0,14072,155868,4605,35917,5594
37,2008,5,8432,1859,2027,1202,2151,892,6613,2689,0,3530,470,10224,554,996,1326,2659,2031,1478,64,118,17,269,1201,3646,0,129,514,1655,156,349,3504,1452,944,785,8842,879,470,2317,2553,3296,1728,4110,3880,1470,302,0,2408,5539,2399,3714,8245,2079,2571,943,1903,1662,484,38461,2612,19222,6649,1052,86051,1199,4458,1555,1586,0,1515,20980,1232,4777,1431
38,1740,0,0,315,741,1401,356,95,383,0,0,800,80,1475,2,1080,138,1,0,45,0,346,1,217,207,92,0,0,11,821,0,208,2422,7,2308,7750,2975,0,0,114,100,0,0,34,14,0,0,0,0,0,213,6549,630,1106,0,0,15,596,503,8341,1133,14085,178,74,107097,168,2753,0,264,0,736,4072,0,1450,11
39,17905,1,30171,3352,1438,10167,3423,6071,14573,8180,182,15089,4913,29273,1336,5640,5966,7315,4896,6005,0,572,604,339,2700,6691,630,87,1487,3014,27,272,5091,10449,3559,26803,20255,3369,3389,7639,14380,5589,2265,5439,2277,3968,274,0,5719,22538,5193,11031,25779,6711,5222,0,3484,5888,3164,83749,3593,86098,17319,6543,368576,5757,13572,4424,5989,0,8230,42922,8819,45026,4986
40,5533,0,13799,1659,2094,3981,3003,2476,7398,6296,85,6298,5600,13868,606,3925,4525,1075,1982,1955,120,235,0,138,929,3117,143,100,414,1217,281,118,3025,5267,2605,1253,9694,539,936,1918,7912,4915,5021,5091,3549,2204,613,177,1983,5284,9377,4960,13486,4823,2587,311,3808,2887,1459,54085,2470,55925,5535,2470,80759,1520,6595,2190,8550,231,3387,12953,538,6582,2020
41,6,2386,0,0,0,0,0,0,1,0,567,0,1,1,215,0,0,0,3,17942,281,4197,1668,524,13450,29515,3863,1551,5452,24296,4845,5481,2,0,1,1,1053,3,1144,0,2,1637,0,1,1,1,0,0,0,0,0,8,4,0,0,1150,0,0,0,2,1,2,0,0,31139,0,1,0,0,1939,0,1,4,1,0
42,6792,1051,6139,1656,3438,2216,2148,1111,7094,3985,34,3140,1903,11722,1242,1752,2298,1244,1044,1958,525,763,376,443,2879,3436,1436,330,840,2762,343,0,1971,2146,1044,0,13001,598,1145,2270,5700,4611,401,2620,1130,1529,1771,5,3347,3765,2895,8632,8218,3122,1324,809,1092,1863,1936,31714,1588,17393,6498,2601,143961,1586,5141,3282,2770,170,2978,13898,771,5209,1513
43,125,5142,3522,0,3188,1218,0,4332,0,0,16673,5,0,1,225,0,0,0,1313,29182,998,4055,1565,5942,14338,56736,0,0,277,31415,0,1679,4,0,0,1,1,938,2081,0,1,5150,1,1,12,3302,199,4385,0,0,0,290,0,0,0,0,0,1158,0,0,1,0,1,411,40685,0,0,0,0,0,0,0,0,0,0
44,2,0,0,0,1,0,0,1,0,0,532,0,0,0,249,223,0,0,0,7882,176,1155,0,868,4782,4501,0,487,2752,7835,46,772,7,0,0,0,425,1,0,0,0,2270,0,1,0,589,526,19,0,0,0,1,0,355,0,598,0,513,0,0,0,0,0,0,10344,16,9,0,0,1953,0,0,0,0,0
45,848,0,3731,193,688,1357,578,128,2337,1524,0,1312,589,5083,156,552,540,568,651,841,235,192,149,149,749,1466,204,0,394,585,0,26,1067,1175,756,0,1986,252,166,1061,1489,1773,907,1168,885,337,305,225,877,2752,1440,1202,5141,602,462,93,436,391,502,22015,645,3586,1682,561,53961,126,1384,319,1022,0,536,7950,229,2525,822
46,7573,1183,15480,8793,1592,4306,2107,1779,6838,4839,0,1022,3292,15166,721,2587,1092,6058,2727,817,29,55,599,143,421,1995,3,194,147,1154,155,85,2457,5884,3692,1064,22714,1019,3550,3325,3390,6028,2792,5242,4277,3133,2053,1,6246,9410,2625,5324,15525,5001,1607,245,1264,3963,1313,79357,1591,228,2111,1875,252196,3676,2373,2267,3749,273,2782,53842,5315,13148,1809
47,33873,0,30556,13096,65,5998,1393,2710,22163,4440,11,3001,8007,34731,2892,4419,2416,7729,10110,3383,136,663,697,370,2959,7531,511,97,1421,5557,328,1092,4600,10432,5015,2860,44077,2428,2975,7927,10888,7422,3574,5055,7201,6929,3501,0,13965,16361,5388,36006,23071,12310,8655,11,4885,6011,2880,191286,4199,73,5722,7590,910777,5134,4980,4597,4283,0,4700,95135,7624,23386,3709
48,1486,0,0,0,6350,770,12,4723,905,1616,0,0,0,0,724,0,0,0,0,8985,0,918,799,806,3576,15011,1382,0,1341,11190,1823,890,12451,0,0,1081,4846,7475,5651,0,1561,1,2745,4251,4631,2552,0,0,18,0,0,9186,0,0,0,0,0,0,0,0,1302,0,615,0,310255,0,0,398,0,0,0,0,43,1,378
49,2367,0,3008,916,947,56,1888,1,4934,587,0,750,477,6371,783,2959,1070,3608,1275,713,290,116,1,475,1930,3211,0,0,825,1881,131,0,1221,299,4063,0,3615,904,879,1661,1624,348,1824,1122,954,1018,190,0,1713,489,4318,19087,3987,977,0,0,0,254,1110,16157,743,41386,2416,3212,291259,2778,3574,1437,1001,0,3622,3928,1234,2967,1142
50,30364,61,48777,9066,573,23594,7272,2739,23144,9384,8,11137,6439,33064,3468,7386,8198,6448,6181,4938,455,1233,503,419,4478,10067,1898,828,747,10141,36,459,7470,14459,8896,905,39986,4946,1449,11930,34000,7105,5340,10950,13062,7467,3219,0,10181,39347,14984,34814,46875,10355,9916,0,4894,3591,9343,227440,7666,37571,19290,10253,1125248,7291,13816,6747,14274,0,12528,147299,1908,29753,7351
51,539,2621,0,0,1359,0,0,705,0,1,821,496,0,0,132,0,82,0,0,6118,615,450,35,540,3016,8101,79,0,2072,4088,684,283,0,0,0,0,557,0,670,0,2,1726,177,613,0,0,722,22,0,0,0,17,5,0,0,629,0,3,0,0,1,0,0,0,22000,82,1,281,0,0,0,0,68,0,370
52,1576,0,4416,595,333,2007,531,601,2270,1256,0,1189,854,3883,294,633,950,848,2447,1031,45,91,12,161,726,1400,238,51,343,647,91,69,1409,1657,758,79,3553,199,202,1976,1234,2179,815,1155,752,900,480,0,1609,3262,1259,2519,4599,1076,970,0,786,357,508,17024,976,8067,1975,840,53548,361,1883,515,913,0,627,9192,906,4155,713
53,8039,0,3851,3098,1216,1258,1277,615,4349,1313,38,395,305,2779,391,931,448,2614,346,570,40,66,62,89,426,742,191,0,297,517,8,26,439,447,1109,27,9032,1006,936,1255,1905,1215,894,851,728,1066,428,23,1080,2201,330,7969,5453,1331,572,28,254,864,1329,11611,187,15,2116,476,182164,720,2628,1720,92,0,631,11218,1869,4923,603
54,4140,0,0,0,2,0,0,64,0,1548,1,934,0,0,0,137,429,0,0,901,0,908,0,775,965,362,0,0,1185,2683,412,586,11,0,0,4231,987,585,643,0,0,0,493,1136,0,4,7,0,0,0,0,10344,0,0,0,1148,0,5,0,6,601,0,0,0,56307,0,85,809,0,0,0,2,1,202,399
55,276,0,419,0,75,155,266,54,351,714,0,8,233,265,133,273,185,257,60,90,6,0,151,0,20,355,0,0,77,78,6,26,117,97,54,1,383,5,50,24,190,72,184,193,69,4,33,0,87,272,832,405,431,316,50,0,85,57,86,1368,211,3910,1003,11,18582,20,406,0,49,0,316,859,83,113,1
