,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
32,14,419,2,103,131,1475,5,0,320,761,381,201,2,2,478,413,0,241,50,1589,2947,1610,2559,0,395,2534,234,93,252,41,684,1784,128,726,107,325,0,51,19,370,285,229,236,61,438,218,193,417,1,635,811,105,0,339,399,95,8669,103,61,44,1673,0,485,275,555,221,38104,119,199,186,1408,334,0,9,405,189,430,105,875,215,227,1,0,0,983,1,522,149,176,31,223,377,14
33,2217,28064,16012,4434,7275,25925,188,8745,7365,63652,15836,9689,1436,580,15343,35505,9643,4566,2707,35199,10259,9826,10784,1947,3990,8843,19340,326,19,11868,2002,19563,2941,12390,2301,5566,8800,9061,23841,10534,8939,5125,11032,6240,7990,2198,17674,25617,5057,7995,32385,1971,5781,7142,24257,7878,18158,5818,4214,7936,21905,9850,14037,0,36986,2594,124769,1790,7312,1608,9468,7578,5196,18725,3471,2421,5223,454,7448,4123,734,6352,2767,6822,11415,1332,22440,10950,5313,2165,8509,14732,8767
34,2,2757,548,337,535,615,40,625,596,3631,623,855,413,224,351,2621,398,778,152,138,2189,1857,3047,277,546,1471,416,9,169,600,453,4,316,441,117,146,968,262,622,112,44,932,339,400,2,242,348,944,571,103,0,355,42,750,3468,612,4384,535,306,463,172,215,439,11,902,128,22619,56,80,52,479,793,0,850,287,58,1312,558,604,413,1,272,58,440,1730,260,1523,1,704,640,152,612,507
35,368,1230,676,0,3,304,320,373,696,2535,1337,463,0,467,801,1590,772,529,0,16,2547,1699,3278,225,420,1868,980,0,29,259,282,3181,108,379,224,295,0,2,1875,80,754,323,89,546,356,266,215,722,391,199,1001,263,134,836,1036,514,1399,1,192,394,802,711,305,603,450,425,13418,25,308,23,969,98,33,379,0,106,718,13,430,236,5,545,0,0,739,263,831,16,171,125,723,223,17
36,1,3700,12,0,1,168,570,1561,1795,4634,2150,0,0,0,1,2905,1090,943,3055,3818,2640,2081,3070,0,1044,950,1442,0,0,0,553,2237,2,676,739,0,1,2,3223,512,518,2,2,0,1,657,0,187,1,220,86,1448,0,0,6545,1156,7527,0,79,1219,0,0,0,0,2516,479,292991,1295,288,0,0,105,1603,1476,2817,1514,0,1087,859,193,407,1,1895,2846,690,0,1066,0,6,76,338,0,565
37,50,508,14,0,0,37,391,303,88,1060,262,58,41,0,182,644,51,204,43,30,3008,928,2525,661,837,1646,1,2,21,0,592,1014,162,168,0,2,154,0,0,2,58,205,4,0,168,93,84,379,0,343,386,0,0,114,304,0,1045,99,106,51,79,0,28,135,2,6,84559,27,151,0,132,3,19,0,0,124,0,185,56,0,0,60,0,0,254,65,11,94,81,0,216,99,186
38,808,9726,2321,1306,788,9271,1952,2047,2877,4808,2378,300,169,1,512,10378,2612,1627,5269,15624,9266,7968,11538,999,3776,7526,4440,38,2877,14,5962,19355,664,2903,33,829,672,1246,882,5,763,1527,1055,1412,1597,255,2631,9374,924,13659,2936,1056,789,924,9266,1252,11817,1532,488,429,743,606,551,126,6627,307,898749,86,5367,1407,9509,746,4741,2178,6786,77,5123,1083,3281,0,1,112,353,3261,3080,0,6758,0,1158,2,1965,1028,2128
39,255,3818,2739,335,80,999,322,113,383,3169,372,0,698,129,1322,788,913,138,1204,3749,2076,1015,1148,0,447,1808,626,373,369,0,1113,9119,134,345,152,541,151,0,587,515,726,768,434,273,238,420,104,167,167,2806,614,433,136,917,1263,27,889,117,47,76,340,225,135,0,580,143,41546,368,239,625,3354,0,955,620,234,0,469,379,203,279,12,496,48,220,144,133,1053,796,155,159,184,769,0
40,1822,5981,748,309,4445,586,2905,1947,2672,21684,2404,2264,439,171,27,5222,0,2756,3229,3,9207,5138,13456,383,2310,6667,4105,361,2353,1300,1417,1,1909,1122,1410,1881,886,2114,3,821,381,4219,183,364,447,979,2008,17950,59,26,0,1,21,4012,6137,3611,9825,580,199,2350,497,299,535,23,4669,580,346675,2527,2483,3856,5052,3130,145,311,2581,4473,2979,612,2948,6,700,4,0,44,4126,1625,7800,717,60,1313,591,9,0
41,945,2900,4449,147,2613,0,1296,469,1946,16023,1214,1718,2336,752,2399,7637,3949,2153,0,0,6562,2284,9711,711,1088,4597,3889,4925,227,3967,463,0,3357,1648,2882,1132,316,1447,4413,1979,852,2119,6,1924,898,684,3815,17337,3401,125,0,3096,268,11863,4990,4166,6458,782,2518,669,2760,3157,2855,0,12670,496,104875,1653,3230,1658,19588,1674,610,543,448,3180,9419,2841,374,2832,0,805,99,0,3838,1929,990,138,740,1256,884,8939,1189
42,3667,14351,3339,5390,1475,147,3892,4603,2995,25986,3349,3620,692,380,3003,19162,8773,1534,19087,3602,11169,4645,15321,1648,1375,11804,3849,7995,1022,0,3794,5819,2972,2607,3218,2229,3665,1218,4129,922,1378,7102,6746,7219,2960,353,2819,10928,3200,14661,2189,523,1756,18073,16601,6038,8401,780,1501,623,7477,560,2416,2333,9375,1038,773808,4411,9508,672,16632,1896,176,6627,234,5907,25,5590,3335,1413,0,1934,1019,0,2022,1096,2008,738,3606,0,2244,5850,0
43,4674,2958,2221,5188,1557,1789,35,1282,3351,37912,6846,0,946,6853,4932,3629,6572,2287,12397,582,9369,3040,28338,2737,2054,15387,8460,2371,1644,3576,5061,0,1950,2544,2182,1973,1375,1217,5039,2107,1891,8176,5676,1676,6645,2703,3041,22531,5073,363,1,31,2228,10148,27316,9360,11714,1505,2434,1858,9785,2967,2790,7930,18973,1159,318130,5226,22308,5962,21560,6485,1132,2122,1020,150,6028,32,1793,1439,136,2334,974,9420,5597,2481,8588,0,3005,1170,1502,4957,3555
44,225,229,248,21,0,476,9,2,364,253,657,1,0,43,18,183,125,30,16,80,1624,798,2292,109,737,1806,443,96,164,250,211,1,141,254,33,346,92,220,220,432,0,113,166,99,0,412,201,232,241,0,0,0,9,1482,2369,135,40,64,490,188,15,0,13,41,206,222,3940,7,241,29,313,0,32,311,0,200,294,0,37,53,83,4,237,11,510,3,2,202,9,251,35,30,223
45,1474,7204,3639,414,1154,1681,7031,139,3378,10321,4278,0,2457,3783,4166,8304,5754,1890,2085,2016,6095,4357,11438,90,3254,4940,2774,10347,2475,4439,1272,6575,1669,1387,4228,2164,2188,1247,6557,3208,2276,1894,1889,3623,3874,2059,2714,1462,4948,11307,542,386,1975,17123,19176,7173,9404,1681,2481,2162,2823,1484,440,2112,14601,1251,33845,3309,4200,3016,14623,725,5141,7407,1100,1377,5310,1347,3399,2244,3146,1622,3206,1819,2232,632,6098,3684,2023,3325,1549,797,1620
46,3095,11994,4071,4656,11504,3136,2233,10446,6057,76684,14268,3429,7992,2601,9097,28165,18205,2100,12136,1653,11988,5307,21001,2049,8799,11900,7521,5035,813,5123,5835,5909,5829,4650,7636,5449,6630,7,9328,3153,2837,12299,7169,10278,5514,4370,9069,31405,6411,1426,873,6056,3863,49626,59592,7318,13915,3469,5169,3666,7462,6054,10819,4279,30228,5586,256181,4537,17322,5511,31959,5799,3422,8900,4919,5107,4650,8227,4238,6579,1798,3324,1542,1085,8821,4758,16560,998,7589,5431,2763,19123,8105
47,86,945,79,278,298,655,21,271,441,5882,629,980,3,403,610,2719,787,407,530,116,3071,1808,4583,1014,1175,2914,600,273,693,680,690,79,222,655,94,329,511,536,1219,1,124,1161,553,306,416,576,1202,1671,436,162,1,1,184,2213,4619,1558,4093,269,563,493,1008,377,924,0,1501,384,44636,110,87,1,1085,397,426,499,123,115,1431,318,390,210,85,506,106,38,2188,341,390,162,234,174,912,680,409
48,41,276,21,101,10,25,71,0,214,531,104,128,22,73,47,176,35,148,0,135,1652,1120,1216,209,351,1206,55,0,199,132,209,0,40,26,101,31,68,3,41,136,82,280,54,39,0,23,58,233,55,9,0,9,25,459,208,244,840,0,0,78,23,101,114,17,152,65,3423,222,1,156,162,35,73,29,203,194,291,29,100,0,90,35,0,43,722,34,343,114,9,32,73,205,0
49,534,8693,558,172,4,665,1329,1,2413,25202,7213,5106,895,407,1359,9323,1143,2193,1046,1,7664,4930,8343,19,861,8120,1718,387,1592,422,1589,1,810,1420,2374,946,235,1378,2315,890,1076,1256,1428,1961,725,1357,3439,14290,3468,2,1,771,0,6358,15531,3048,8764,2766,1400,1335,604,535,3500,623,3985,801,154343,1112,2686,925,1054,2776,265,2737,439,1011,6292,1593,1389,2663,1297,565,1469,2563,12167,177,6015,40,1236,2730,741,3039,4444
50,194,465,356,361,685,0,4,716,768,4129,510,543,9,456,4,1917,604,338,0,316,3094,1859,3167,717,1633,4369,1663,4,226,249,207,439,550,441,29,283,217,64,339,202,168,742,278,289,528,414,70,2213,887,91,33,96,135,2489,3564,493,5,363,350,830,408,602,197,26,1618,163,6897,0,583,27,188,156,22,598,378,52,1057,800,336,432,148,380,124,0,3143,125,162,189,379,1,527,128,365
51,177,639,428,0,326,185,0,280,613,3487,1247,136,200,241,360,2204,381,6,161,295,2328,1948,2902,193,317,2224,254,56,394,634,140,521,89,210,187,177,0,996,956,701,209,401,441,196,64,532,960,1675,444,110,2,24,0,2277,5246,469,136,531,539,558,157,229,724,119,1461,209,13104,103,403,54,209,48,1,592,106,94,1101,240,4,55,65,210,494,213,1865,37,553,238,434,13,468,845,533
