,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
37,310,126,0,49,36,134,1,1832,196,6,217,92,0,0,581,0,149,28,38,0,2,170,515,324,933,151,415,122,0,175,166,0,47,34,20,6,0,337,120,30,129,50,621,186,45,0,1179,796,0,49,1075,0,0,0,60,0,0,514,6,0,0,46,6756,0,173,41,0,190,150,192,168,325,0,626,1,271,45,0,371
38,294,126,0,34,0,15,64,1212,183,0,651,159,0,0,889,3,186,0,50,0,33,38,763,587,1129,257,827,153,0,150,94,0,49,167,76,1,0,139,63,21,158,38,1287,266,25,26,425,1297,0,93,1139,0,0,0,138,86,0,1660,15,0,0,1,12112,0,45,0,0,66,13,389,136,151,0,269,0,253,35,0,127
39,6998,3504,0,2196,3369,3227,833,32113,3071,434,5800,2003,225,0,14871,0,2847,177,4917,0,391,10768,2087,1420,1484,1151,3304,4475,0,3154,4379,5382,1189,2138,3022,1009,0,1573,5578,342,6927,4095,18982,4885,6628,1747,11316,15787,1,774,5989,0,0,0,4930,1275,0,18767,1662,0,0,1733,447061,0,12226,919,376,25480,1238,3436,3348,6122,0,4730,0,8935,1570,0,7335
40,3324,347,2,0,1168,270,1558,7609,181,0,2304,381,185,0,5371,159,1413,161,415,0,0,1260,2267,996,2979,543,1317,1582,0,1100,3203,1,177,477,42,2,0,527,765,2,451,588,4985,405,7,407,2603,3495,1,97,527,0,0,0,1120,177,45,5481,1440,0,0,181,696762,0,82,0,389,1621,930,147,3241,3293,0,899,2,322,230,0,424
41,4279,1959,1,352,613,1121,815,6799,447,159,806,452,0,0,4014,0,797,51,347,0,101,662,1686,1128,2394,601,1685,1496,0,913,2334,232,549,757,297,416,0,615,880,457,1586,637,3273,1794,2694,51,2490,3106,0,256,4402,0,0,0,936,325,0,4058,125,1,412,606,107983,0,1922,0,61,2828,398,875,1579,962,0,1469,1,1195,613,0,1626
42,2282,628,1,897,1057,896,155,5828,372,216,621,399,88,0,2810,0,393,0,914,176,101,3099,1533,560,2628,169,1093,1273,5,1206,1451,488,284,383,453,175,0,950,279,36,345,1260,5480,632,3593,292,295,2916,0,86,3895,0,0,0,1228,22,0,3223,215,1,89,87,89870,0,2091,14,76,3260,1307,161,1796,1593,0,560,0,1428,1036,0,1936
43,920,182,0,63,242,279,0,754,249,1,74,192,0,0,161,1,603,0,51,0,141,260,1096,445,1533,173,571,127,0,0,266,1075,60,163,0,128,1,0,106,66,325,189,842,195,562,16,99,404,0,69,2165,1,0,0,560,3,1,740,24,0,0,142,30853,0,194,0,73,369,2,160,428,223,0,202,1,783,74,0,15
44,8531,4220,288,3013,6038,5795,3525,12614,2274,476,1,662,0,0,7748,413,1454,309,7769,351,24,11149,5052,2622,5860,612,4446,2512,0,1815,4663,21547,1984,403,906,1240,0,1723,254,795,2637,3846,14586,1593,7865,0,5093,13484,0,1167,10792,60,5,0,1254,455,4,4825,641,4,0,59,812761,0,2215,2,39,6332,1673,2831,3688,4701,0,1630,918,8855,489,1,3119
45,638,473,0,597,0,9,165,3223,473,0,285,144,40,0,2322,0,368,23,0,1,24,507,934,568,641,191,902,513,0,511,220,144,244,253,73,10,0,665,28,311,196,271,1522,598,220,1,1275,626,0,22,1098,0,0,0,617,132,0,1565,48,0,56,79,7717,1,896,0,15,473,12,50,500,56,0,679,4,507,1,0,213
46,13610,3443,7,3893,3191,5110,3464,26070,5500,63,4979,1443,129,0,8587,5,4000,7,8199,0,175,9620,2837,1284,5177,449,1773,4531,0,5862,5109,15197,1080,2570,1220,1454,0,3931,1451,1036,8474,5136,19676,4598,7859,814,14524,12958,0,1962,9129,7,1,0,1482,1815,0,23927,872,0,10,176,714674,26,2542,1,793,23446,5942,2553,5509,3171,0,4979,3,5959,3595,0,8439
47,606,250,2,80,405,32,0,1904,532,0,0,152,29,2,816,4,312,11,52,19,136,122,282,347,779,200,516,114,0,392,21,20,67,92,2,111,0,323,129,40,130,31,231,138,96,11,1065,1248,0,52,397,5,0,1,294,24,11,822,49,8,1,1,2806,1,314,0,1,255,72,380,59,29,4,197,5,494,92,2,311
