,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
46,52,3050,0,162,0,131,1363,0,80,495,276,0,0,124,866,1123,612,538,699,641,130,0,295,2415,175,0,780,1574,0,138,1,0,487,282,0,0,0,1941,849,0,175,0,0,0,7432,1,1593,645,0,0,6,0,0,30018,44,0,1965,1588,206,10,0,0,22,0,1544
47,1332,1047,0,74,18,409,868,541,2115,595,551,0,103,335,525,1629,8,1191,271,162,72,0,106,320,448,120,115,555,46,35,176,673,418,978,0,0,0,676,1127,475,698,17,0,0,4295,97,1020,1143,0,0,275,0,2,126033,1041,46,556,721,860,434,174,0,319,109,497
48,685,662,0,0,1,43,1073,388,224,1521,240,0,0,12,1699,3206,0,308,2,1309,274,0,507,2027,1508,66,683,285,0,437,2587,0,35,3,0,0,305,2180,1983,879,486,0,0,0,6180,0,2557,347,0,0,1057,1,0,30621,90,0,265,1065,144,1100,0,0,0,0,810
49,2652,3813,0,973,7,3951,4222,1500,6424,1249,480,0,40,170,2942,6847,335,2339,689,4006,285,11,296,1601,2657,616,1269,2377,377,361,1108,1562,246,3427,0,0,146,3087,4033,3217,1507,543,0,0,7514,0,4247,5009,0,0,2844,0,27,376333,2789,0,1690,844,2998,2893,1018,0,1321,1189,994
50,110,94,2,2,2,655,420,1,84,652,720,0,0,662,60,688,0,29,1,893,425,0,233,1027,1611,61,207,321,0,527,529,1,70,307,0,0,2,150,590,75,10,0,0,0,6372,0,58,706,0,0,35,0,8,137249,68,0,34,574,191,961,3,0,197,0,285
51,944,877,0,418,0,388,1014,417,1122,2724,1354,0,180,158,288,4258,0,1152,1498,4195,321,0,313,2475,4961,652,1632,3769,565,215,488,7,276,2042,0,0,46,1379,814,727,517,0,0,0,4585,0,2006,1287,0,0,503,0,195,19628,2459,0,430,1559,3447,578,167,0,156,134,818
52,6542,10199,0,684,1,10381,10490,5121,18130,5984,3440,0,729,3823,5038,11248,1445,6001,6544,2639,1435,1,548,3668,5796,1825,2565,4514,1628,806,3490,3521,2352,7678,0,0,7,5762,6480,6177,6843,1351,0,0,26683,8,4917,6436,0,2,2425,1,293,266793,6977,0,5701,6683,13541,3166,895,2,1155,1507,3296
53,5226,6362,0,1472,0,4309,6473,3443,10387,2546,1669,0,495,634,2419,9739,1080,3043,6793,1924,81,362,73,880,2419,165,286,2038,471,269,2235,544,590,6461,0,0,459,3248,3207,3328,3803,307,0,0,9450,0,8957,3161,0,1,3570,0,650,86173,3919,1,2410,1401,8726,4392,2567,0,2505,1861,2376
54,605,624,0,119,15,677,1173,238,428,631,410,0,149,678,203,753,0,599,594,1256,206,35,304,926,2060,0,225,1493,161,124,194,1,39,673,2,0,3,501,497,426,1483,30,0,0,2066,0,897,1641,0,0,348,0,167,41725,747,8,375,405,1739,318,213,1,219,20,383
55,780,6689,2757,0,1,5439,0,1,0,4039,6236,0,0,0,4820,7708,0,2264,1273,33046,4913,2709,2126,18335,27107,6614,8378,34393,4765,4987,402,0,2711,3745,0,0,5,0,5,2930,3975,3992,0,0,34281,0,5589,981,0,0,86,0,0,7277,4694,0,887,0,13630,0,3872,0,277,0,1222
