,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
33,1,254,0,0,1218,0,0,0,0,0,494,0,0,0,0,97,0,0,0,4509,2872,5293,3443,2309,4,0,0,0,1636,462,0,1102,523,0,0,0,0,0,0,0,172,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,202,34986,0,294,245,0,0,0,0,0,1,0,1,0,1,0,386,0,0,0
34,3010,946,6309,2010,265,1823,815,806,803,6201,2741,243,852,2030,10062,609,1020,2569,1132,964,557,1863,476,1121,1768,2322,1375,1664,7225,418,2113,1485,1789,582,2262,520,588,937,1508,54,1358,1978,476,161,4652,2135,4554,899,8462,2567,1208,933,691,528,800,810,873,27421,920,549,45,2636,1037,90244,921,2164,3123,2489,243,5308,1159,894,980,1455,562,728,20259,333,1319,4535,339,451
35,10236,2118,12392,3680,3922,3746,4167,2515,1917,5746,5595,2087,7650,2432,18296,2879,1885,3283,1145,4081,4720,8719,2438,4998,3931,2161,824,4777,11910,1316,5264,9786,6401,536,358,2401,1944,5276,2799,3872,5094,2817,2755,6880,10882,8040,24604,2574,30504,5295,5395,402,2670,749,1186,2959,3919,59349,2323,2184,13910,23564,3235,525882,1926,4504,819,16036,3688,1588,204,5328,671,4876,1110,1843,23469,2410,2802,28645,298,3285
36,3182,316,6810,2633,3234,1946,1733,1586,1431,7734,3497,981,2915,1099,9457,2732,1999,2251,4933,2013,1335,2965,375,1705,1931,824,1228,1759,10667,183,3175,763,3360,436,0,675,1211,1682,1173,770,2092,2030,2636,941,4394,6077,11087,1071,15964,3470,2704,208,463,1178,925,2268,1572,23357,762,640,8316,4199,1165,64046,813,1646,1111,6083,1290,811,66,1669,705,1479,636,735,13474,143,4315,14788,714,1442
37,3567,666,7868,985,2987,2416,964,691,1776,6816,2312,953,2810,1737,7115,1079,1614,1083,2841,2084,710,1688,974,2063,3482,2344,916,1347,6019,443,3276,4054,2598,475,294,703,1261,1515,1230,1290,1983,2186,495,1488,3000,2474,3793,705,7820,1529,1852,280,870,1196,817,1053,980,24062,697,987,33409,6406,1252,111500,2351,1362,2461,2699,1782,1691,1187,1097,1002,1169,2264,612,13231,553,1768,11450,1118,1514
38,981,134,5323,913,1197,767,479,532,1069,1038,672,857,892,988,4459,910,1123,950,1838,757,643,1557,519,932,893,369,798,609,4571,398,1838,253,1306,170,2,696,586,1392,1569,1154,1313,1272,820,64,3146,2519,2397,737,6215,911,472,717,385,310,347,1354,550,15402,441,494,2158,1563,906,7412,725,98,183,1402,273,183,540,470,1133,463,491,927,5666,167,1270,1540,605,1113
39,4647,734,5010,1474,2435,2823,1276,954,731,4874,1657,267,330,1877,6365,770,1309,1957,1141,1060,801,2124,241,918,999,3321,640,1574,7527,797,3126,2111,1833,155,869,348,696,1326,939,525,1399,1453,980,529,3902,2153,8181,970,7205,2834,755,457,256,1039,813,757,668,28609,1163,211,1803,1951,1649,123037,1571,1141,971,3991,1579,1497,1590,184,541,1507,536,364,15171,752,784,4369,1191,953
40,4754,34,8836,997,6882,3021,439,750,1157,8662,2892,527,2787,2360,9571,842,3154,1446,1864,1210,692,2556,1101,2313,1573,2775,990,1601,4797,307,1164,3559,1000,633,1212,1283,798,1638,848,913,1765,1363,960,746,3304,3531,19767,659,13652,1391,988,701,1358,2484,539,1088,1528,31591,721,727,18746,6853,2393,138462,1797,1908,0,4554,1550,4582,1069,375,404,3295,617,1512,16788,2208,566,4875,1386,977
41,1787,499,9699,1633,1312,1364,1999,549,75,4282,2053,359,2618,2886,15990,1120,1103,2261,3489,2211,838,3906,928,1567,4738,4806,688,1992,11433,364,2953,2075,5870,420,3431,218,2025,6429,1279,0,2147,1966,2170,761,7893,5052,3220,488,16672,3456,4515,696,2270,660,1740,2441,1304,64447,2064,902,895,3280,3112,79840,2640,2598,3433,2135,3772,4361,2380,936,420,2897,1593,893,30681,1247,4455,8189,166,2631
42,13057,1598,16972,3298,3285,6169,2014,713,1360,8380,5658,851,4295,5401,18919,1913,3759,2881,252,1960,990,6344,908,3114,1396,7491,2402,972,10581,1137,4261,1390,3020,1225,6442,1064,2249,3786,3591,2534,3889,4734,1358,2232,7764,5695,11173,1783,16785,4198,4187,1925,328,2348,1111,3795,2136,86500,3038,3118,3702,9895,1217,510076,3234,3020,2582,4080,1870,1540,4593,3133,615,3226,860,2650,47265,1094,3522,13962,1855,2419
43,8616,1524,22840,2403,5041,2831,1370,1611,2037,8231,2887,1135,6883,4703,26703,2947,2319,2016,2893,3055,1376,2113,1270,2428,3585,7429,2077,1648,13643,498,6770,5115,5434,2041,4737,1054,2200,3143,4768,1750,4229,6733,2633,3367,8621,6767,7218,2374,24003,5028,3739,2271,671,2100,537,3335,2401,79096,365,2503,30369,11451,4085,157084,2177,3434,1616,11095,4307,5079,2771,2138,1598,4905,1744,2866,30774,4387,2583,22371,41,2688
44,4015,4203,10056,1007,740,5164,984,1737,1525,8356,4005,2555,3194,4109,13378,1902,2660,3279,4404,1954,1313,5415,693,2180,6776,2999,987,1575,7284,1702,4473,4307,6044,2373,1735,1393,5025,5335,2026,1519,2371,4609,1502,1528,3918,9975,29394,836,14720,3293,2266,632,504,1151,1152,1459,1095,56201,1935,465,42592,7394,4552,149216,3598,3761,0,10034,6504,5140,1343,2200,1756,2580,494,812,24181,2161,1218,8695,26,2903
45,1873,374,5186,574,2739,2889,266,534,707,910,2220,667,1618,1724,7486,1432,1451,1569,776,1538,894,2167,509,1281,559,3244,1128,819,5714,33,2005,2378,1592,488,497,388,487,1484,853,568,1196,623,181,130,1766,1560,7673,199,7518,2491,636,189,357,863,658,292,402,20482,1048,617,5874,2770,630,94700,1218,1917,1685,3789,420,2633,975,1209,276,263,490,312,12958,274,934,2041,468,722
46,8661,2850,23447,2354,392,7991,2227,2215,3252,10534,4218,1102,2321,5153,19494,1377,3279,2986,587,2739,914,2347,488,2880,4318,12495,3745,1398,10360,1831,7606,9677,10216,2175,4792,2284,1910,2185,2614,1822,3198,1170,1673,5164,12131,5390,13163,1015,18044,3409,4660,1820,2661,3715,1416,2544,2621,102133,1729,4678,20110,13868,2755,281363,5727,6605,0,6110,1748,3760,4255,2873,1441,4154,3142,2575,40164,5675,1365,27906,4535,3272
47,38,0,0,0,425,0,0,124,0,0,0,0,687,0,0,0,78,0,0,978,654,1101,199,855,1247,0,0,0,154,560,1,0,0,0,0,42,132,232,954,0,78,0,0,0,0,0,153,0,0,0,0,0,0,0,269,0,0,0,0,0,1,0,0,32621,0,0,0,0,0,0,0,112,0,0,36,0,0,0,241,0,0,65
48,4158,432,6658,1003,3844,2342,1218,988,471,3739,1885,417,1982,1309,7943,1129,1391,661,1613,1237,674,1937,676,868,824,2528,993,1454,6021,546,1824,4106,1621,1429,510,744,697,1234,1100,1248,909,1451,985,1417,3070,3340,5527,665,8644,1112,1043,966,442,1257,422,1072,892,25986,990,443,44168,4197,1747,111255,506,1432,0,3246,909,478,1235,1024,839,1925,542,513,7538,715,1697,7010,1775,1112
49,4921,674,9014,1061,3282,2821,933,510,573,4989,1953,686,2113,1880,9051,1659,1279,979,946,1416,687,2812,478,1167,1727,2619,979,662,5189,295,3270,4192,1634,1070,185,1316,991,1314,774,1846,1632,1769,709,1414,3276,3509,12636,618,9075,2874,1890,398,687,638,565,1308,1263,28288,1061,639,18206,4970,445,108883,1000,2317,304,2093,1061,1373,949,1180,494,1361,1129,722,9947,1016,186,4164,441,716
50,1060,484,4355,1676,1024,705,1420,573,571,4791,989,143,566,777,7901,1606,1410,1813,557,869,523,965,231,664,2201,799,570,1749,6850,526,2057,794,1712,435,774,937,1214,1354,1750,144,1601,1126,765,73,1941,1330,4075,151,7868,1925,1790,489,172,589,171,1640,501,27119,367,348,3051,4218,714,13885,857,358,859,2484,927,932,225,813,721,1159,170,1339,14406,99,857,1827,604,1030
51,5321,831,14550,1831,2774,2931,1326,2348,1827,10619,1952,252,2916,3308,14972,2207,1400,4607,2655,2186,1539,2798,1018,1615,2519,2166,1157,2147,17472,451,4940,3252,5475,2339,1274,952,1333,4212,2534,2629,3585,4224,1330,620,4567,6079,4099,818,16607,4101,2765,1937,1456,3160,1476,1317,788,38799,1797,1477,7147,5220,2239,180079,2865,2570,1312,5501,2834,5924,780,2396,1917,1857,914,2694,26217,286,1988,7528,1757,1146
52,1112,75,0,0,9,2,47,174,23,0,1,58,0,0,0,0,0,0,7,573,391,588,86,567,1566,1,1,0,382,160,0,1,2,0,26,2,140,367,360,0,286,1,0,0,0,0,354,0,21,0,0,0,0,0,92,0,0,2,13,1,0,0,0,5684,12,0,1,0,1,0,0,23,309,0,32,0,25,0,35,0,0,17
53,3455,786,7057,944,1332,1419,851,900,1215,3639,2299,926,2082,2104,8781,1043,1839,1875,1958,1434,930,2416,591,1207,1851,1410,1146,758,7958,696,3164,4356,1735,651,780,638,1032,1303,1337,963,955,1584,930,1403,2515,3126,5201,744,7406,2657,1182,1050,1501,1296,444,1044,1100,24840,866,1290,5603,2398,2772,103352,1705,1669,767,3066,1729,2388,1085,1223,264,2138,884,172,13010,515,1497,5105,1653,1367
54,10546,2283,22606,2338,2872,9692,3665,4266,1614,4986,4672,1336,6969,6369,29375,2163,1916,1557,187,3255,785,4268,594,2878,4444,8513,731,3576,10641,2231,5627,3958,3427,2157,5427,1092,1873,2378,1914,2362,2917,6090,1470,3708,16161,7862,10477,1461,21196,5627,3494,2489,3869,4115,1272,5603,4858,98683,3784,2725,20878,9184,492,778775,4032,6193,1191,9121,1911,1077,2253,3078,3129,7422,2414,2893,39396,3338,7039,37498,770,2435
55,4496,372,7629,975,3916,2266,1127,1590,178,4329,2630,386,2058,2011,8344,745,1877,1122,1434,873,874,1760,406,1514,1088,3710,1257,1239,4513,839,1517,1599,1820,712,996,822,778,1692,1538,1346,1077,1580,1060,1067,4172,3889,10983,1350,8582,1591,1649,1228,1776,660,563,1153,1029,33103,1007,481,23402,3353,1695,114249,2314,2425,0,2945,1150,2012,241,737,1059,1263,547,723,9480,775,1246,4993,1317,860
56,5396,737,10110,1243,2329,1716,412,698,1316,7172,3680,738,2147,1751,11098,1346,2013,962,1156,927,430,1487,317,754,1476,1567,190,1347,7134,617,2628,2735,1784,1392,1077,1534,1129,1866,785,980,1051,1766,543,1339,4757,3961,5251,1745,8971,1437,1681,937,444,1412,889,1295,1905,26767,1586,845,20782,4337,596,123294,684,1873,172,4418,868,734,898,1243,1358,2466,713,1118,13672,658,1959,10131,611,1071
57,160,0,0,0,0,0,25,65,0,0,1,1,0,0,69,0,23,0,0,546,333,917,79,609,1079,0,0,0,209,45,0,0,0,0,0,0,13,70,109,0,1,1,1,0,0,0,331,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,7831,0,0,18,0,5,0,0,0,10,0,9,0,0,0,63,0,0,11
58,2094,475,3629,757,258,1039,616,246,514,996,2078,165,929,830,6328,723,654,810,3215,799,465,1346,370,658,1197,844,406,779,3907,304,2659,341,1545,138,931,47,486,953,943,1091,460,1419,615,652,3555,2689,4708,531,8746,1099,737,317,248,431,513,851,449,15602,670,683,2194,1840,728,31646,1312,572,0,2409,1142,737,509,854,310,714,334,813,4351,256,815,3866,635,1001
59,7343,3275,17982,1366,386,7814,1280,1243,1631,8142,8320,1891,5111,11543,28493,2179,3696,2023,132,951,836,2394,1035,1349,5012,3846,1238,3342,8394,1631,3005,6847,3185,3014,3078,2803,2563,5783,4000,2623,5079,2363,1810,3273,7571,13279,26570,792,20641,10566,4970,1826,2159,2465,609,3968,4022,101248,3993,3020,12240,9938,1740,493884,3846,4572,2,7407,1083,6638,3431,2180,1391,6090,3293,1689,22684,6438,1189,24427,1849,1455
60,439,33,3451,743,976,1574,965,234,553,3277,2047,648,1566,721,4895,1372,894,571,2434,1030,914,972,395,1009,2158,1195,185,695,3120,119,1680,949,1364,825,73,855,582,1309,494,854,546,437,515,596,2154,2697,10190,614,5941,1429,1248,259,532,634,341,1262,1086,18257,779,400,11793,4890,1681,61683,1509,772,19,1841,890,483,149,425,277,1227,536,385,3546,788,190,3246,180,1205
