,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
32,4644,642,0,1262,4206,0,491,1472,0,868,1283,13585,1859,1045,897,1980,2043,1758,11388,276,1490,724,5542,0,2970,3959,3018,5457,1165,3437,3537,1173,425,740,965,1190,679,852,401,30,1768,1048,1349,2658,2749,1666,458,810,361,283,1427,7552,1948,6682,2414,1234,1534,1084,177,6027,7450,1616,6750,1079,960,0,717,194,1887,8269,188557,7239,822,4698,2114,1068,848,610,2760,2932,2139,977,2827,824,774,273,578,2964,1391,8485,248,2314,567,678,5278,1094
33,5556,1835,907,249,1124,2368,875,1243,513,1384,388,10707,637,996,1973,1588,1712,924,11060,883,1131,1737,980,1087,6573,2277,1944,3676,325,2235,2146,821,1843,2002,2424,4670,618,1499,285,458,1139,201,1031,2469,950,1516,1025,749,1392,428,1224,4627,1152,6883,1401,1403,0,124,968,2105,3560,264,5812,485,1892,505,471,784,498,4760,191144,1152,653,3997,1305,980,2035,431,1173,4576,3084,1202,1039,225,378,408,776,2719,662,2435,418,747,114,936,3162,914
34,3227,1611,1464,137,331,2453,1067,0,411,911,3490,3872,4643,1799,0,1247,1216,888,7744,8,2406,1153,65,747,7697,3149,2261,4560,628,2637,3659,1963,2645,23,2702,534,588,844,2004,1551,5899,3790,1920,2290,448,1213,1534,1509,587,3466,2022,3896,2824,1311,542,525,855,1101,809,7589,13200,1841,9962,1902,1301,3462,1791,199,1845,5356,199895,1764,694,8935,0,2703,3543,434,1093,2778,397,177,861,770,928,5778,551,1710,1741,5910,501,372,1196,661,3326,1362
35,14599,5497,2099,1470,844,3032,1589,4517,3695,1897,1975,29960,4693,2906,5393,2404,2324,3258,24083,1861,3825,1457,2642,1166,15763,987,1557,3022,440,2012,5744,2820,5699,1302,2407,5500,804,4179,119,2234,2934,1607,2359,6659,5944,4353,3653,2605,2597,1627,1792,14177,4018,12033,2698,1802,756,1763,2421,5954,11442,2473,17236,2192,4390,225,2102,3312,1234,11032,279091,3654,893,7829,2256,1902,3832,749,2369,10426,6087,1912,3244,1921,2488,1275,1237,8963,3054,12324,2203,2418,4768,2644,5222,3086
36,2851,2340,215,232,1,1322,520,817,1147,1024,360,6831,1198,659,1,347,0,1719,4785,190,741,943,1214,0,1630,2268,1439,3222,718,1752,1317,637,449,0,1575,9186,4267,276,644,855,1026,1178,694,1839,290,361,1042,1756,1139,0,397,6850,1414,2330,899,1124,1667,68,773,3329,7953,770,7209,380,1497,1109,288,99,199,1905,54755,2422,473,2587,394,812,942,762,126,837,990,314,803,177,999,11,1492,282,45,3563,732,1293,320,700,796,497
37,3909,3742,879,753,2340,2715,1193,415,2810,1152,3099,8225,1798,2919,1,64,1423,2220,6678,1230,2584,1699,136,2376,11151,1631,1192,4254,883,3295,1890,1579,2329,263,1396,22491,954,1645,2073,1449,8442,4802,1276,2520,314,2695,4201,1411,3537,2609,1166,5614,1516,7885,4773,1642,495,585,1735,4392,8175,838,10502,694,4993,2233,1713,381,1830,5956,210869,2901,594,5113,340,1408,3098,138,412,2413,1177,1035,185,970,648,2446,26,2627,1341,6032,1719,2517,2389,1146,920,928
38,480,11,0,0,4960,0,0,0,0,435,437,85,0,0,0,0,223,0,0,0,665,36,0,0,0,2361,1551,3076,955,1989,1199,0,0,0,0,0,513,1017,0,0,1,576,0,0,0,228,0,0,0,111,0,0,594,0,0,0,1,2098,193,0,0,0,1,0,0,0,0,0,0,0,101547,1065,0,0,0,0,0,0,0,0,0,0,0,135,1,0,0,0,0,0,37,0,0,34,0,0
39,3146,1589,518,38,1,2603,602,0,870,596,424,5692,306,1890,0,2100,1846,1579,7146,1140,1249,826,906,639,8457,2277,2943,3647,751,3293,2538,1074,326,74,527,10056,414,790,1140,713,5566,322,2542,2921,278,2244,803,1942,2286,390,2983,528,2221,3142,6051,1308,479,463,1433,7829,9876,907,5870,1754,820,1616,639,310,339,3431,153495,923,81,3434,0,3173,3555,0,1061,1398,221,728,645,1217,2051,1656,2,1368,1620,4912,375,1442,1596,1076,1973,1864
40,7985,2390,702,2515,2332,4273,361,473,0,1574,768,28249,968,3660,0,1052,458,3829,4044,1178,2052,1322,1910,0,596,5889,2005,4014,2024,2401,1893,943,2222,200,1496,1018,2779,1371,823,1283,3558,0,714,1593,1345,1093,1123,343,591,2160,8414,911,2076,5118,1212,606,929,3961,1274,20220,16390,5040,12709,1050,2146,236,1598,1633,261,11670,63676,2199,1282,3983,3333,1066,6620,49,1111,2791,1090,891,1567,600,1853,1726,1248,951,1237,6336,242,663,2273,874,3999,1955
41,1659,510,196,136,0,269,411,891,1758,460,53,5768,332,33,551,160,337,1816,1707,1000,688,264,1725,295,1712,2120,770,2809,669,1680,563,281,580,776,2284,2836,313,294,466,404,584,201,117,1330,372,257,537,1553,282,148,237,2189,739,1767,378,277,1,1570,0,1820,3108,507,2801,288,692,0,59,512,390,2878,47263,334,81,1439,493,3,198,1,89,1108,916,562,396,295,322,216,0,604,377,312,83,0,366,197,385,423
