,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
36,80,354,55,1016,12754,30410,0,1550,3714,2371,190,0,0,274,3644,0,17055,8170,886,4738,0,1,7938,2184,15410,3947,5964,393,0,0,0,688,5499,623,10080,21,2501,4186,812,4797,2,201,2097,0,1,864,0,4,0,0,1,3210,5449,1,660,2361,0,4051,1911,345,3281,634814,676,1971,13585,5361,0,0,1568,9510,1,0,8426,0
37,690,1807,246,1626,8717,24414,0,1820,1562,1673,197,359,0,923,3526,0,14347,2084,417,5898,0,0,1260,736,1764,168,1490,397,0,0,3,651,1188,1036,2175,377,2609,1344,2118,1048,1,202,565,528,0,1384,0,862,0,0,16001,2146,993,418,973,1356,0,1639,2139,577,817,177851,1002,0,7448,1798,105,0,159,3791,54,22,1097,271
38,1961,7,3,1,26952,68920,0,2676,1197,3151,854,701,1,2400,3760,1,23458,18156,2,9975,0,1,11371,3645,15662,4202,7448,194,0,2,2,1004,4523,805,10179,1055,1319,6679,3716,4378,1,17,65,603,2,2816,1,1802,1,1,389,5122,14516,0,1290,3950,1,2000,504,6101,3179,570990,1488,155,23948,3421,1,0,2793,17331,260,1,9368,1
39,1867,1266,603,0,4526,7868,0,1255,408,489,0,18,0,405,1461,0,8890,4831,0,2348,0,0,1248,564,4199,798,1183,1008,0,0,1,505,1384,193,2826,493,164,1766,1593,412,0,716,66,478,0,727,0,725,0,0,15286,756,3991,0,89,130,0,865,558,385,185,613778,1783,563,7309,2805,35,0,0,1466,16,0,1784,0
40,219,1128,0,938,5658,8720,0,3921,4449,506,374,0,0,548,6042,0,4689,5641,10,5347,0,0,3601,4453,7750,3433,7271,3,0,0,0,434,1729,1177,2149,1,818,4142,2259,291,0,1009,681,546,0,1201,0,1101,1,1,5,445,2988,0,437,1299,0,606,6,1341,678,335329,376,720,10264,1688,0,0,0,6715,1,181,2308,749
41,277,10320,450,1559,5220,14379,0,2268,1060,703,269,152,0,3397,4816,0,8630,951,0,2747,0,187,2322,1244,3369,284,1475,699,0,0,0,8694,1783,263,3139,263,749,1479,1277,935,143,1355,1107,1253,0,1839,249,556,0,0,21228,6659,510,598,992,766,0,5908,1021,2304,2319,309295,815,333,3364,2584,1003,0,0,2554,487,0,1015,0
42,1589,1661,838,1714,22091,29063,0,4017,2127,4167,416,2266,0,4578,8318,1,21744,4467,445,10093,0,0,1796,1248,3305,353,1367,687,0,0,0,1508,4536,5729,8465,659,3923,1576,6238,5630,1,2010,1442,3896,0,2255,172,2297,0,0,9128,18917,4906,586,2476,3964,0,6309,5171,1548,2792,142965,1184,2982,9019,5802,22,0,871,12873,96,486,4399,0
43,1784,702,1,5,1465,1458,0,1837,192,784,0,337,0,0,428,0,2292,112,0,1910,0,0,7974,2093,7765,1328,4723,0,0,0,0,715,347,44,524,0,0,76,0,868,0,12,0,377,0,48,0,0,0,0,39004,111,65,0,942,88,0,173,450,594,1152,166297,742,0,1607,1349,0,0,0,181,0,284,79,0
44,913,701,635,597,4138,11312,0,1296,1262,400,132,333,0,1271,2816,0,6102,1405,177,5433,0,0,1158,949,2348,384,1162,363,0,0,1,152,1326,619,1345,178,406,281,2382,539,1,333,143,1254,0,1115,0,695,0,0,523,2033,1972,1,1121,1370,0,914,887,914,1094,11405,574,550,642,561,0,0,2,901,30,230,1404,0
45,6077,2893,692,2238,47916,42283,0,2432,2719,2220,160,2467,0,3108,20573,0,35693,29631,434,20821,0,300,2989,944,3960,1070,2063,2473,0,0,1,2258,6483,665,8601,448,2693,6343,652,6837,2,2052,2359,341,309,4830,0,3813,0,0,162,3083,17561,287,4038,2085,0,1716,5239,1976,4258,267571,114,4059,13867,2415,2,51,2880,17446,30,666,4244,0
46,1116,1633,814,321,3992,9190,0,1424,838,1161,25,26,3,345,2568,2,3406,1400,184,4211,0,18,2438,1168,3228,341,1900,149,1,2,15,174,402,179,2544,405,363,194,1115,1092,3,277,989,339,0,566,10,407,3,1,297,1225,1102,0,0,927,2,1302,677,967,307,92171,75,201,2640,1464,23,7,177,2013,1,10,1599,2
47,1,5,2,0,779,495,0,257,0,15,0,15,0,48,10,0,32,748,0,345,0,0,9769,2378,8583,3520,6949,1,0,0,0,314,144,172,114,0,1750,1154,339,1,3,57,66,19,0,6,0,519,0,1,8804,0,42,0,34,26,0,757,0,118,0,248361,78,1,749,148,0,0,0,2177,0,4,58,0
48,1623,780,633,1570,18098,10571,0,436,1713,498,102,695,0,1,6283,0,3804,3801,483,4513,0,0,1300,842,2279,456,1039,492,0,1,0,639,1918,287,1044,148,227,1353,249,2241,1,518,874,399,1,588,42,1534,1,0,478,948,3262,85,680,891,0,372,2241,424,781,17778,215,304,1944,542,1,0,271,2605,51,113,1139,1
49,5030,578,1136,1030,14297,49665,0,3700,4560,2399,338,578,0,1919,5548,0,24074,9937,1534,20178,0,0,4445,2084,12024,3255,5959,2010,0,0,0,1874,6655,809,8395,1029,3862,1558,2383,3750,1,2653,1137,1879,0,3298,1,2353,0,0,16,648,3444,0,3708,1453,1,2153,7114,3682,4072,799098,1446,1083,22208,5081,0,0,2,11407,0,1,9885,780
50,950,188,89,243,2847,4264,0,933,254,208,12,29,0,537,1260,0,2747,946,1,4280,1,0,1729,1342,2872,1066,1020,111,0,0,1,333,444,1245,433,1,312,339,839,404,0,440,601,614,0,234,5,169,0,0,23409,323,405,7,735,773,0,897,1224,457,170,76180,664,311,2156,1352,0,0,1,3202,25,0,1007,0
51,5007,1629,485,3759,21733,22743,0,6476,2889,3712,813,1478,0,1483,10510,0,24617,6752,494,15359,0,1,3072,830,4808,1433,2801,380,0,0,7,1650,6234,7062,7660,244,3159,1869,10692,3240,2,1678,1471,6421,0,3657,328,2763,0,0,23669,13300,7261,0,3867,3519,0,7021,4641,4913,2092,129565,3319,3310,8215,4979,456,0,1,11302,18,189,5993,0
52,542,235,151,560,5301,8640,0,586,556,140,157,344,0,1219,2394,0,5700,1210,145,3424,0,1,704,554,1041,256,693,248,0,0,2,203,783,1188,871,202,299,188,978,763,3,194,379,392,0,707,0,905,0,0,35,1518,1987,2,696,1119,0,725,765,380,379,4915,350,265,1056,759,76,0,335,1216,31,49,971,0
