,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
38,18917,607,449,16151,1421,2309,7181,1999,2796,2171,9380,1524,4217,4931,10186,1408,2137,1525,1135,3557,2772,5508,471,581,2871,2427,8591,1023,1226,12074,568,5418,4770,4101,1423,1159,1759,1931,4208,1307,2861,1950,1415,2941,2187,5323,9464,16787,1262,13354,6329,4786,3876,3251,3426,2737,60348,1684,1410,14636,8260,1200,265855,1666,3983,6298,2568,5465,497,2253,1621,2666,1067,634,2244,24414,3714,5382,22203,528,1518
39,2449,794,575,3635,929,285,3562,677,321,673,3704,1555,1491,2257,8690,973,1183,1188,1512,1139,1153,1900,292,162,1788,1855,1340,991,1184,5351,385,1339,563,1056,1137,249,948,713,871,571,1121,806,1513,582,755,2931,3643,3866,422,7628,1843,1728,933,707,744,1119,26165,524,594,3544,2778,2168,86510,1357,920,3124,1982,807,420,383,512,1174,387,606,80,10243,1248,1077,4822,777,908
40,14580,16,1673,32127,6935,874,22692,6963,7459,2401,23429,10356,5032,12558,43189,8177,5894,9756,8112,9117,5108,11478,2327,3530,5581,9793,9167,4999,2003,51144,2737,13331,7395,14767,2276,9039,1592,8141,15726,7616,2656,9033,11553,3595,4852,14684,11000,28385,2382,43405,8185,3044,4670,965,8193,4950,151738,2824,6322,10016,13644,4274,556078,5213,8923,10869,6079,15498,1932,9539,2212,6728,1899,2776,4269,98350,5500,6399,45514,5116,5495
41,6655,483,1309,10227,4248,4092,2706,1345,869,1638,4547,2455,1340,2745,12821,646,2401,1616,1447,2275,1074,2138,299,408,1789,1857,2395,499,1911,8914,1127,2833,1452,1389,882,4801,79,550,305,1271,0,1713,2181,632,481,4514,3417,6735,1059,9130,1713,1726,796,560,2373,1687,45224,1416,1321,318,5373,1042,97606,2860,1106,4410,1749,2044,314,2066,620,2649,655,331,957,25165,206,1454,6345,1489,1977
42,7552,487,877,12929,2967,5363,2676,2109,1336,1429,8749,1648,2931,4158,8869,1347,2718,4018,3050,2119,1073,2452,821,275,1863,1371,4859,1431,1427,9595,565,1306,2582,2553,891,1636,604,835,941,1057,844,1700,1882,1213,688,8115,4677,12980,590,13236,3031,3929,1829,1389,1781,2299,52451,1770,731,8093,5402,1456,86999,1423,2491,4944,2305,533,749,2158,829,2813,610,304,1261,19187,962,3158,13224,1632,1613
43,1395,95,495,6192,1925,545,1947,976,1268,1490,2164,1117,1675,2398,3710,2425,1109,1981,1,5001,2083,11026,422,2775,4814,1313,1530,843,104,5203,1359,92,1644,515,20,1378,234,1884,2117,544,0,2066,638,137,548,6959,2923,14621,469,5962,2201,444,778,772,937,359,4802,631,1492,16966,2563,235,562034,508,994,4015,1195,10,549,18,2181,2326,143,5,368,5791,450,229,5948,1,0
44,6600,892,1076,19886,2016,93,4387,2138,628,2237,13687,3174,3684,5987,18671,1134,3544,4347,3423,2717,1852,6723,1520,1114,3392,3206,5677,1623,3696,10807,903,5883,8219,3218,2787,4273,1006,1795,2250,1549,1581,2020,5565,2067,449,12373,7253,11005,1060,22045,6134,3098,3415,1037,2141,2471,72476,1214,2376,7577,4123,1727,304965,1867,4533,8221,3682,7059,959,2934,2819,5553,2579,497,2014,47531,1642,1783,11789,3693,1031
45,937,287,366,1954,408,703,936,407,314,258,1069,350,355,868,2637,212,507,291,510,383,660,439,76,120,611,784,1138,117,501,2309,284,964,858,1491,233,186,140,692,191,320,473,377,808,129,480,696,1828,2343,138,2876,516,484,341,171,784,309,17488,293,198,3883,907,728,34911,115,502,848,476,56,145,721,291,520,171,144,121,4475,387,432,1707,330,292
46,7782,528,361,4015,1150,7609,835,1377,319,1784,1661,2202,4118,1123,9613,1968,1867,1346,1049,1862,1282,4443,754,615,1497,918,508,1004,893,7502,123,2842,4,2187,383,554,809,915,2118,1270,328,1182,234,942,604,4079,1892,7709,1508,12522,3144,2305,1219,1977,1145,651,19232,511,339,28672,3972,596,69450,160,461,2715,2929,1692,139,256,688,1732,880,1062,231,9377,1094,556,1226,786,1208
47,2801,0,1657,0,0,2,0,0,0,1,0,0,0,0,2827,681,1261,0,0,16589,15648,42933,0,8658,21010,4088,0,0,0,18225,2,0,2919,0,0,0,0,25,1497,2199,0,0,0,0,0,0,0,1,0,93979,8762,0,0,0,8,0,2587,0,0,0,4116,0,46585,0,0,0,0,0,0,0,2176,0,0,0,0,0,0,0,0,0,0
