,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
48,4853,1743,644,247,769,1563,14818,3019,187,1729,0,6008,946,1260,2634,19861,2513,2005,2729,182,1957,905,1676,394,2734,10085,926,1272,223,1516,2849,2102,191,2296,2199,1873,6366,1734,7303,514,2623,5592,12554,188,0,2265,0,1430,0,501,3943,0,171,217514,0,5268,341,7778,2025,0,4064,0,3347,10906,3550,2233,842,766,3092,669
49,1409,17,27,0,0,866,3431,1001,261,1596,0,3177,433,1619,0,1,8062,5806,9885,1042,5452,2,786,45,1099,731,183,0,0,0,672,738,0,1,440,1345,3511,616,568,0,1080,944,800,0,0,167,0,420,0,0,1009,0,113,4785,0,125,342,826,626,0,0,0,1535,1425,1188,0,460,428,1436,370
50,4601,235,159,4,995,927,13282,2148,390,726,0,4107,1948,0,2474,3208,5793,3259,9248,1050,4479,2191,906,721,2410,2,1298,2785,759,1579,567,243,50,3,1184,767,9836,1867,739,1772,3316,3783,4524,5,0,1319,0,2381,0,491,4716,0,124,135894,0,1311,19,2266,2651,0,4241,0,4907,3525,1594,195,349,1153,1857,631
51,7034,456,691,0,1726,4211,26114,4830,546,4246,0,15668,2126,3061,5066,1657,4218,3198,4248,388,2602,1541,2406,759,2108,699,1390,1798,141,1907,3693,4055,4,2524,1620,3417,18938,3132,2171,1886,4941,6659,14367,1024,0,2418,0,1556,0,1284,9311,0,37,34303,0,2618,664,3558,3571,0,3484,0,9351,3226,1172,1308,1127,2032,4308,1081
52,175,1,0,0,2,340,1647,709,4,1046,0,1,463,269,140,0,3818,1438,4020,1125,4680,279,11,0,55,0,234,0,0,0,0,1,0,0,352,0,353,341,57,3,138,1096,1,0,0,3,0,0,0,0,229,0,0,9032,0,1,17,0,185,0,276,0,1436,58,0,127,97,91,0,1
53,3551,798,270,0,300,433,15635,2088,642,1486,0,5669,2209,1756,1534,2097,3006,1678,5130,678,2298,1493,1067,739,416,438,882,1426,23,868,1555,907,404,2206,488,477,6264,1427,1866,358,2344,4871,5532,0,0,1451,0,1581,0,95,3803,0,5,130381,0,1674,611,3218,3744,0,2616,0,3504,4856,1388,1773,648,774,1681,350
54,871,348,179,0,425,612,7375,241,162,2583,0,5447,478,595,271,3050,1500,1507,3166,412,2899,1103,1180,0,708,968,170,620,334,536,2112,475,0,418,611,859,4697,1933,895,0,1361,2127,1738,0,0,2884,0,491,0,670,1389,0,0,26331,0,2910,220,2052,404,0,1236,0,2476,2101,368,213,577,640,283,349
55,1253,348,0,16,302,483,7951,1723,315,256,0,3675,425,1057,990,4628,2976,1698,4634,683,2916,1804,1381,401,492,3519,416,712,286,1181,0,486,164,564,175,604,5841,1960,2962,278,1546,3066,3052,0,0,379,0,500,0,368,3398,0,0,101953,0,981,401,928,1399,0,2784,0,1375,1309,1013,1488,125,324,2169,204
56,2720,450,227,0,0,1095,2485,2252,0,0,0,2074,240,209,21,0,3162,2099,2044,825,2376,428,272,199,457,3,357,392,176,53,1956,75,81,832,586,510,160,179,1,0,1869,1983,536,0,0,800,0,0,0,0,1097,0,7,9740,0,597,0,1583,291,0,261,1,1656,1366,485,303,130,462,110,4
57,3249,567,1085,0,619,2910,8311,1030,0,1203,0,1155,646,1895,1669,0,3074,2624,6881,605,3040,563,2909,484,287,2,313,614,98,214,4512,379,0,507,493,1532,9440,1349,1,368,2139,4879,2572,0,0,987,0,532,266,74,3153,0,0,80913,0,1941,330,1478,992,0,1165,0,3891,2572,1574,675,371,941,2444,18
